title,tagline,no_of_directors,directors,no_of_writers,writers,lead_stars,released_year,oscar_wins,genres,award_nominations,award_wins,rating,votes,metascore,duration,county_of_origins,production_companies,url
Dune,"Beyond fear, destiny awaits.",1,Denis Villeneuve,3,"Jon Spaihts(screenplay by),Denis Villeneuve(screenplay by),Eric Roth(screenplay by)","Timothée Chalamet,Rebecca Ferguson,Zendaya",2021,0,"Action,Adventure,Drama,Sci-Fi",245,91,8.1,473004,74.0,155,"United States,Canada","Warner Bros.,Legendary Entertainment,Villeneuve Films",https://www.imdb.com/title/tt1160419/
Spider-Man: No Way Home,The Multiverse Unleashed.,1,Jon Watts,3,"Chris McKenna,Erik Sommers,Stan Lee(based on the Marvel comic book by)","Tom Holland,Zendaya,Benedict Cumberbatch",2021,0,"Action,Adventure,Fantasy,Sci-Fi",32,5,8.7,441741,71.0,148,United States,"Columbia Pictures,Pascal Pictures,Marvel Studios",https://www.imdb.com/title/tt10872600/
Don't Look Up,Based on truly possible events.,1,Adam McKay,2,"Adam McKay(screenplay by),David Sirota(story by)","Leonardo DiCaprio,Jennifer Lawrence,Meryl Streep",2021,0,"Comedy,Drama,Sci-Fi",73,10,7.2,408192,49.0,138,United States,"Hyperobject Industries,Province of British Columbia Production Services Tax Credit,Bluegrass Films",https://www.imdb.com/title/tt11286314/
Zack Snyder's Justice League,Us United,1,Zack Snyder,3,"Jerry Siegel(Superman created by),Joe Shuster(Superman created by),Zack Snyder(story by)","Henry Cavill,Ben Affleck,Gal Gadot",2021,0,"Action,Adventure,Fantasy,Sci-Fi",4,0,8.1,358716,54.0,242,United States,"Atlas Entertainment,DC Entertainment,HBO Max",https://www.imdb.com/title/tt12361974/
Black Widow,She's Done Running From Her Past.,1,Cate Shortland,3,"Eric Pearson(screenplay by),Jac Schaeffer(story by),Ned Benson(story by)","Scarlett Johansson,Florence Pugh,David Harbour",2021,0,"Action,Adventure,Sci-Fi",21,3,6.7,331459,67.0,134,United States,Marvel Studios,https://www.imdb.com/title/tt3480822/
Shang-Chi and the Legend of the Ten Rings,A Marvel legend will rise.,1,Destin Daniel Cretton,3,"Dave Callaham(screenplay by),Destin Daniel Cretton(screenplay by),Andrew Lanham(screenplay by)","Simu Liu,Awkwafina,Tony Chiu-Wai Leung",2021,0,"Action,Adventure,Fantasy,Sci-Fi",43,8,7.5,314136,71.0,132,United States,"Walt Disney Pictures,Marvel Studios",https://www.imdb.com/title/tt9376612/
No Time to Die,Bond is Back,1,Cary Joji Fukunaga,3,"Neal Purvis(screenplay by),Robert Wade(screenplay by),Cary Joji Fukunaga(screenplay by)","Daniel Craig,Ana de Armas,Rami Malek",2021,0,"Action,Adventure,Thriller",51,18,7.4,304936,68.0,163,"United Kingdom,United States","Metro-Goldwyn-Mayer (MGM),Universal Pictures,Eon Productions",https://www.imdb.com/title/tt2382320/
The Suicide Squad,They're dying to save the world.,1,James Gunn,1,James Gunn,"Margot Robbie,Idris Elba,John Cena",2021,0,"Action,Adventure,Comedy,Sci-Fi",23,2,7.2,297289,72.0,132,United States,"Warner Bros.,DC Entertainment,Atlas Entertainment",https://www.imdb.com/title/tt6334354/
Free Guy,The world needed a hero. They got a guy.,1,Shawn Levy,2,"Matt Lieberman(screenplay by),Zak Penn(screenplay by)","Ryan Reynolds,Jodie Comer,Taika Waititi",2021,0,"Action,Adventure,Comedy,Fantasy,Sci-Fi",15,3,7.2,274258,62.0,115,United States,"20th Century Studios,Berlanti Productions,21 Laps Entertainment",https://www.imdb.com/title/tt6264654/
The Eternals,In the beginning...,1,Chloé Zhao,3,"Chloé Zhao(screenplay by),Patrick Burleigh(screenplay by),Ryan Firpo(screenplay by)","Gemma Chan,Richard Madden,Angelina Jolie",2021,0,"Action,Adventure,Fantasy,Sci-Fi",9,1,6.5,240512,52.0,156,United States,Marvel Studios,https://www.imdb.com/title/tt9032400/
Red Notice,Pro and Cons,1,Rawson Marshall Thurber,1,Rawson Marshall Thurber,"Dwayne Johnson,Ryan Reynolds,Gal Gadot",2021,0,"Action,Comedy,Thriller",1,0,6.3,229854,37.0,118,United States,"Netflix,Seven Bucks Productions,Flynn Picture Company",https://www.imdb.com/title/tt7991608/
Cruella,Hello cruel world.,1,Craig Gillespie,3,"Dana Fox(screenplay by),Tony McNamara(screenplay by),Aline Brosh McKenna(story by)","Emma Stone,Emma Thompson,Joel Fry",2021,0,"Adventure,Comedy,Crime,Drama",33,12,7.4,208889,59.0,134,United States,"Walt Disney Pictures,Marc Platt Productions,Gunn Films",https://www.imdb.com/title/tt3228774/
Nobody,Never underestimate a nobody.,1,Ilya Naishuller,1,Derek Kolstad,"Bob Odenkirk,Aleksey Serebryakov,Connie Nielsen",2021,0,"Action,Crime,Drama,Thriller",9,2,7.4,197879,64.0,92,"United States,Japan","87North,Dentsu,Eighty Two Films",https://www.imdb.com/title/tt7888964/
Godzilla vs. Kong,One will fall.,1,Adam Wingard,3,"Terry Rossio(story by),Michael Dougherty(story by),Zach Shields(story by)","Alexander Skarsgård,Millie Bobby Brown,Rebecca Hall",2021,0,"Action,Sci-Fi,Thriller",11,2,6.4,191159,59.0,113,United States,"Legendary Entertainment,Warner Bros.",https://www.imdb.com/title/tt5034838/
The Tomorrow War,,1,Chris McKay,1,Zach Dean,"Chris Pratt,Yvonne Strahovski,J.K. Simmons",2021,0,"Action,Adventure,Drama,Sci-Fi,Thriller",8,0,6.6,188029,45.0,138,United States,"Skydance Media,Paramount Pictures,New Republic Pictures",https://www.imdb.com/title/tt9777666/
The Matrix Resurrections,"It's been another life, beyond the one...",1,Lana Wachowski,3,"Lana Wachowski(based on characters created by),David Mitchell,Aleksandar Hemon","Keanu Reeves,Carrie-Anne Moss,Yahya Abdul-Mateen II",2021,0,"Action,Sci-Fi",24,0,5.7,185218,63.0,148,United States,"Warner Bros.,Village Roadshow Pictures,Venus Castina Productions",https://www.imdb.com/title/tt10838180/
Radhe,,1,Prabhu Deva,2,"Vijay Maurya(screenplay),A.C. Mughil(screenplay)","Salman Khan,Disha Patani,Randeep Hooda",2021,0,"Action,Crime,Thriller",0,0,1.8,174956,,135,India,"Sohail Khan Production,Reel Life Production,Salman Khan Films",https://www.imdb.com/title/tt10888594/
Jai Bhim,,1,T.J. Gnanavel,1,T.J. Gnanavel,"Suriya,Lijo Mol Jose,Manikandan",2021,0,"Crime,Drama",0,3,9.3,172974,,164,India,2D Entertainment,https://www.imdb.com/title/tt15097216/
Venom: Let There Be Carnage,,1,Andy Serkis,2,"Kelly Marcel(screenplay by),Tom Hardy(story by)","Tom Hardy,Woody Harrelson,Michelle Williams",2021,0,"Action,Adventure,Sci-Fi,Thriller",5,0,6.0,169655,49.0,97,United States,"Marvel Entertainment,Pascal Pictures,Sony Pictures Entertainment (SPE)",https://www.imdb.com/title/tt7097896/
Jungle Cruise,,1,Jaume Collet-Serra,3,"Michael Green(screenplay by),Glenn Ficarra(screenplay by),John Requa(screenplay by)","Dwayne Johnson,Emily Blunt,Edgar Ramírez",2021,0,"Action,Adventure,Comedy,Fantasy",8,1,6.6,167079,50.0,127,United States,"Davis Entertainment,Flynn Picture Company,Seven Bucks Productions",https://www.imdb.com/title/tt0870154/
Army of the Dead,Survivors Take All,1,Zack Snyder,3,"Zack Snyder(story by),Shay Hatten(screenplay by),Joby Harold(screenplay by)","Dave Bautista,Ella Purnell,Ana de la Reguera",2021,0,"Action,Crime,Horror,Sci-Fi,Thriller",3,0,5.7,161711,57.0,148,United States,The Stone Quarry,https://www.imdb.com/title/tt0993840/
