title,tagline,no_of_directors,directors,no_of_writers,writers,lead_stars,released_year,oscar_wins,genres,award_nominations,award_wins,rating,votes,metascore,duration,county_of_origins,production_companies,url
Mortal Kombat,Get over here.,1,Simon McQuoid,3,"Greg Russo(screenplay by),Dave Callaham(screenplay by),Oren Uziel(story by)","Lewis Tan,Jessica McNamee,Josh Lawson",2021,0,"Action,Adventure,Fantasy,Sci-Fi,Thriller",6,3,6.1,160449,44.0,110,United States,"New Line Cinema,Atomic Monster,Broken Road Productions",https://www.imdb.com/title/tt0293429/
Wrath of Man,,1,Guy Ritchie,3,"Nicolas Boukhrief(based upon the film 'Le Convoyeur' written by),Éric Besnard(based upon the film 'Le Convoyeur' written by),Guy Ritchie(screenplay by)","Jason Statham,Holt McCallany,Josh Hartnett",2021,0,"Action,Crime,Thriller",0,0,7.1,148303,57.0,119,"United Kingdom,United States","Metro-Goldwyn-Mayer (MGM),Miramax,CAA Media Finance",https://www.imdb.com/title/tt11083552/
Luca,,1,Enrico Casarosa,3,"Enrico Casarosa(story by),Jesse Andrews(story by),Simon Stephenson(story by)","Jacob Tremblay(voice),Jack Dylan Grazer(voice),Emma Berman(voice)",2021,0,"Animation,Adventure,Comedy,Family,Fantasy",63,2,7.5,135159,71.0,95,United States,"Pixar Animation Studios,Walt Disney Pictures",https://www.imdb.com/title/tt12801262/
Raya and the Last Dragon,,3,"Don Hall,Carlos López Estrada,John Ripa",3,"Qui Nguyen(screenplay by),Adele Lim(screenplay by),Paul Briggs(story by)","Kelly Marie Tran(voice),Awkwafina(voice),Gemma Chan(voice)",2021,0,"Animation,Action,Adventure,Comedy,Drama,Family,Fantasy",54,4,7.3,132562,75.0,107,United States,"Walt Disney Animation Studios,Walt Disney Pictures",https://www.imdb.com/title/tt5109280/
Encanto,Magical House. Magical Family.,3,"Jared Bush,Byron Howard,Charise Castro Smith(co-directed by)",3,"Charise Castro Smith(screenplay by),Jared Bush(screenplay by),Byron Howard(story by)","Stephanie Beatriz(voice),María Cecilia Botero(voice),John Leguizamo(voice)",2021,0,"Animation,Comedy,Family,Fantasy,Musical",76,11,7.3,127192,76.0,102,United States,"Walt Disney Animation Studios,Walt Disney Pictures",https://www.imdb.com/title/tt2953050/
Shershaah,,1,Vishnuvardhan,1,Sandeep Shrivastava(screenplay),"Sidharth Malhotra,Kiara Advani,Shiv Panditt",2021,0,"Action,Biography,Drama,War",4,1,8.7,112827,,135,India,Dharma Productions,https://www.imdb.com/title/tt10295212/
Fast & Furious 9,Fast Family Forever,1,Justin Lin,3,"Daniel Casey(screenplay by),Justin Lin(screenplay by),Alfredo Botello(story by)","Vin Diesel,Michelle Rodriguez,Jordana Brewster",2021,0,"Action,Crime,Thriller",7,1,5.2,112582,58.0,143,United States,"One Race Films,Roth/Kirschenbaum Films,Perfect Storm Entertainment",https://www.imdb.com/title/tt5433138/
The Last Duel,The true story of a woman who defied a nation and made history.,1,Ridley Scott,3,"Nicole Holofcener(screenplay by),Ben Affleck(screenplay by),Matt Damon(screenplay by)","Matt Damon,Adam Driver,Jodie Comer",2021,0,"Action,Drama,History,Thriller",30,2,7.4,109981,67.0,152,"United States,United Kingdom","20th Century Studios,Pearl Street Films,Scott Free Productions",https://www.imdb.com/title/tt4244994/
Ghostbusters: Afterlife,Discover the Past. Save the Future.,1,Jason Reitman,3,"Gil Kenan,Jason Reitman,Dan Aykroyd(based on: the 1984 ""Ghostbusters"", written by)","Carrie Coon,Paul Rudd,Finn Wolfhard",2021,0,"Adventure,Comedy,Fantasy,Sci-Fi",10,0,7.3,105877,45.0,124,"United States,Canada","Columbia Pictures,BRON Studios,Ghostcorps",https://www.imdb.com/title/tt4513678/
The Guilty,,1,Antoine Fuqua,3,"Nic Pizzolatto(screenplay by),Gustav Möller(based on the motion picture ""Den Skyldige"" written by),Emil Nygaard Albertsen(based on the motion picture ""Den Skyldige"" written by)","Jake Gyllenhaal,Riley Keough(voice),Peter Sarsgaard(voice)",2021,0,"Crime,Drama,Thriller",0,0,6.3,104525,63.0,90,United States,"Amet Entertainment,Bold Films,Capstone Pictures",https://www.imdb.com/title/tt9421570/
The Conjuring 3,,1,Michael Chaves,3,"David Leslie Johnson-McGoldrick(screenplay by),James Wan(story by),Chad Hayes(based on characters created by)","Patrick Wilson,Vera Farmiga,Ruairi O'Connor",2021,0,"Horror,Mystery,Thriller",0,0,6.3,101250,53.0,112,United States,"New Line Cinema,Atomic Monster,The Safran Company",https://www.imdb.com/title/tt7069210/
The Power of the Dog,What it means to be a man.,1,Jane Campion,2,"Jane Campion,Thomas Savage(based on the novel by)","Benedict Cumberbatch,Kirsten Dunst,Jesse Plemons",2021,0,"Drama,Romance,Western",259,210,6.9,92545,89.0,126,"United Kingdom,Canada,Australia,New Zealand","See-Saw Films,Brightstar,Max Films International",https://www.imdb.com/title/tt10293406/
The Unforgivable,No one walks free of their past.,1,Nora Fingscheidt,3,"Peter Craig(screenplay by),Hillary Seitz(screenplay by),Courtenay Miles(screenplay by)","Sandra Bullock,Viola Davis,Vincent D'Onofrio",2021,0,"Crime,Drama",4,3,7.2,90837,41.0,112,"United Kingdom,Germany,United States","Construction Film,Fortis Films,GK Films",https://www.imdb.com/title/tt11233960/
The Little Things,Some things never let us go.,1,John Lee Hancock,1,John Lee Hancock,"Denzel Washington,Rami Malek,Jared Leto",2021,0,"Crime,Drama,Mystery,Thriller",2,1,6.3,88689,54.0,128,United States,"Gran Via,Warner Bros.",https://www.imdb.com/title/tt10016180/
Connected,,2,"Michael Rianda,Jeff Rowe",3,"Michael Rianda,Jeff Rowe,Peter Szilagyi(story coordinator)","Abbi Jacobson(voice),Danny McBride(voice),Maya Rudolph(voice)",2021,0,"Animation,Adventure,Comedy,Family,Sci-Fi",55,34,7.7,88493,81.0,113,"United States,Hong Kong","Sony Pictures Animation,Lord Miller,Columbia Pictures",https://www.imdb.com/title/tt7979580/
Old,It's only a matter of time.,1,M. Night Shyamalan,3,"M. Night Shyamalan(written for the screen by),Pierre-Oscar Lévy(based on the graphic novel ""Sandcastle"" by),Frederik Peeters(based on the graphic novel ""Sandcastle"" by)","Gael García Bernal,Vicky Krieps,Rufus Sewell",2021,0,"Drama,Horror,Mystery,Thriller",3,0,5.8,82946,55.0,108,"United States,Japan","Universal Pictures,Blinding Edge Pictures,Perfect World Pictures",https://www.imdb.com/title/tt10954652/
Last Night in Soho,A murder in the past. A mystery in the future.,1,Edgar Wright,2,"Edgar Wright(story by),Krysty Wilson-Cairns(screenplay by)","Thomasin McKenzie,Anya Taylor-Joy,Matt Smith",2021,0,"Drama,Horror,Mystery,Thriller",49,10,7.1,82505,65.0,116,United Kingdom,"Focus Features International (FFI),Film4,Perfect World Pictures",https://www.imdb.com/title/tt9639470/
The Green Knight,When honor was everything. When courage made kings.,1,David Lowery,1,David Lowery(written for the screen by),"Dev Patel,Alicia Vikander,Joel Edgerton",2021,0,"Adventure,Drama,Fantasy",98,12,6.6,79388,85.0,130,"Ireland,Canada,United States","Sailor Bear,BRON Studios,A24",https://www.imdb.com/title/tt9243804/
The French Dispatch,,1,Wes Anderson,3,"Wes Anderson(screenplay by),Roman Coppola(story by),Hugo Guinness(story by)","Benicio Del Toro,Adrien Brody,Tilda Swinton",2021,0,"Comedy,Drama,Romance",112,20,7.3,74245,74.0,107,"United States,Germany","American Empirical Pictures,Indian Paintbrush,Studio Babelsberg",https://www.imdb.com/title/tt8847712/
The Hitman's Wife's Bodyguard,Killer threesome.,1,Patrick Hughes,3,"Tom O'Connor(based on characters created by),Phillip Murphy(screenplay by),Brandon Murphy(screenplay by)","Ryan Reynolds,Samuel L. Jackson,Salma Hayek",2021,0,"Action,Comedy,Crime,Thriller",2,0,6.1,73401,32.0,100,"United Kingdom,United States","Millennium Media,Summit Entertainment,Campbell Grobman Films",https://www.imdb.com/title/tt8385148/
Sooryavanshi,,1,Rohit Shetty,3,"Sanchit Bedre(dialogue),Vidhi Ghodgaonkar(dialogue),Yunus Sajawal(screenplay)","Akshay Kumar,Katrina Kaif,Ajay Devgn",2021,0,"Action,Crime,Thriller",0,0,6.2,73302,,145,India,"Dharma Productions,Reliance Entertainment,Rohit Shetty Productions",https://www.imdb.com/title/tt9531772/
Malignant,A new vision of terror.,1,James Wan,3,"James Wan(story by),Ingrid Bisu(story by),Akela Cooper(story by)","Annabelle Wallis,Maddie Hasson,George Young",2021,0,"Crime,Horror,Mystery,Thriller",7,0,6.3,72856,51.0,111,"United States,China","New Line Cinema,Starlight Culture Entertainment,Atomic Monster",https://www.imdb.com/title/tt3811906/
Fear Street: Part One - 1994,Three movies. Three weeks. One killer story.,1,Leigh Janiak,3,"R.L. Stine(based upon the Fear Street books by),Kyle Killen(story by),Phil Graziadei(story by)","Kiana Madeira,Olivia Scott Welch,Benjamin Flores Jr.",2021,0,"Drama,Horror,Mystery",1,0,6.2,72003,67.0,107,United States,"Netflix,Chernin Entertainment",https://www.imdb.com/title/tt6566576/
The Dig,Nothing stays lost forever.,1,Simon Stone,2,"Moira Buffini(screenplay by),John Preston(based on the novel by)","Carey Mulligan,Ralph Fiennes,Lily James",2021,0,"Biography,Drama,History",10,2,7.1,69511,73.0,112,United Kingdom,"Netflix,Magnolia Mae Films,Clerkenwell Films",https://www.imdb.com/title/tt3661210/
Judas and the Black Messiah,You can kill a revolutionary but you can't kill the revolution.,1,Shaka King,3,"Will Berson(story by),Shaka King(story by),Kenneth Lucas(story by)","Daniel Kaluuya,LaKeith Stanfield,Jesse Plemons",2021,2,"Biography,Drama,History",75,40,7.5,69508,85.0,126,United States,"BRON Studios,Bron Creative,MACRO",https://www.imdb.com/title/tt9784798/
The Woman in the Window,Some Things Are Better Left Unseen,1,Joe Wright,2,"Tracy Letts(screenplay by),A.J. Finn(based upon the novel by)","Amy Adams,Gary Oldman,Anthony Mackie",2021,0,"Crime,Drama,Mystery,Thriller",1,0,5.7,68591,41.0,100,United States,"20th Century Studios,Fox 2000 Pictures,Scott Rudin Productions",https://www.imdb.com/title/tt6111574/
Finch,,1,Miguel Sapochnik,2,"Craig Luck,Ivor Powell","Tom Hanks,Caleb Landry Jones,Marie Wagenman",2021,0,"Adventure,Drama,Sci-Fi",3,0,6.9,67740,57.0,115,United States,"Amblin Partners,Apple Original Films,Dutch Angle",https://www.imdb.com/title/tt3420504/
"Tick, Tick... Boom!",How much time do we have to do something great?,1,Lin-Manuel Miranda,2,"Steven Levenson(screenplay by),Jonathan Larson(based on the musical by)","Andrew Garfield,Alexandra Shipp,Robin de Jesus",2021,0,"Biography,Drama,Musical",96,17,7.6,67568,74.0,115,United States,"5000 Broadway Productions,Imagine Entertainment",https://www.imdb.com/title/tt8721424/
Master,,1,Lokesh Kanagaraj,3,"Lokesh Kanagaraj(dialogue),Pon Parthiban(dialogue),Rathna Kumar(dialogue)","Joseph Vijay,Vijay Sethupathi,Malavika Mohanan",2021,0,"Action,Thriller",0,0,7.8,67470,,178,India,"B4U Motion Pictures,Seven Screen Studio,X.B. Film Creators",https://www.imdb.com/title/tt10579952/
Coming 2 America,A sequel is in the heir.,1,Craig Brewer,3,"Eddie Murphy(based on characters created by),Barry W. Blaustein(story by),David Sheffield(story by)","Eddie Murphy,Arsenio Hall,Shari Headley",2021,0,Comedy,13,1,5.3,65384,52.0,110,United States,"Eddie Murphy Productions,Misher Films,New Republic Pictures",https://www.imdb.com/title/tt6802400/
Halloween Kills,Evil dies tonight,1,David Gordon Green,3,"John Carpenter(based on characters created by),Debra Hill(based on characters created by),Scott Teems","Jamie Lee Curtis,Judy Greer,Andi Matichak",2021,0,"Horror,Thriller",3,0,5.6,64573,42.0,105,United States,"Universal Pictures,Miramax,Blumhouse Productions",https://www.imdb.com/title/tt10665338/
Army of Thieves,,1,Matthias Schweighöfer,2,"Zack Snyder(based on characters created by),Shay Hatten(screenplay by)","Matthias Schweighöfer,Nathalie Emmanuel,Ruby O. Fee",2021,0,"Action,Comedy,Crime,Thriller",0,0,6.4,64207,49.0,127,"Germany,United States","Pantaleon Films,The Stone Quarry,Film United",https://www.imdb.com/title/tt13024674/
Spae Jam 2: A New Legacy,They're all Tuned up for a rematch.,1,Malcolm D. Lee,3,"Leo Benvenuti(based on ""Space Jam"" written by),Steve Rudnick(based on ""Space Jam"" written by),Timothy Harris(based on ""Space Jam"" written by)","LeBron James,Don Cheadle,Cedric Joe",2021,0,"Animation,Adventure,Comedy,Family,Fantasy,Sci-Fi,Sport",0,3,4.4,63922,36.0,115,United States,"Warner Bros.,Warner Animation Group,Proximity",https://www.imdb.com/title/tt3554046/
The White Tiger,Create Your Fate.,1,Ramin Bahrani,2,"Ramin Bahrani(written for the screen by),Aravind Adiga(based on the book by)","Adarsh Gourav,Rajkummar Rao,Priyanka Chopra Jonas",2021,0,"Crime,Drama",6,0,7.1,57396,76.0,125,"India,United States","Lava Media,ARRAY Filmworks,Netflix",https://www.imdb.com/title/tt6571548/
House of Gucci,A legacy worth killing for.,1,Ridley Scott,3,"Becky Johnston(screenplay by),Roberto Bentivegna(screenplay by),Sara Gay Forden(based on the book by)","Lady Gaga,Adam Driver,Al Pacino",2021,0,"Crime,Drama",62,6,6.8,56965,59.0,158,"United States,Canada","BRON Studios,Metro-Goldwyn-Mayer (MGM),Scott Free Productions",https://www.imdb.com/title/tt11214590/
Fear Street: Part Two - 1978,Find the Truth,1,Leigh Janiak,3,"Zak Olkewicz(screenplay by),Leigh Janiak(screenplay by),Phil Graziadei(story by)","Sadie Sink,Emily Rudd,Ryan Simpkins",2021,0,"Drama,Horror,Mystery",1,0,6.7,55935,61.0,109,United States,"Netflix,Chernin Entertainment",https://www.imdb.com/title/tt9701940/
Pig,We don't get a lot of things to really care about.,1,Michael Sarnoski,2,"Vanessa Block(story by),Michael Sarnoski(story by)","Nicolas Cage,Alex Wolff,Adam Arkin",2021,0,"Drama,Mystery,Thriller",60,28,7.0,53822,82.0,92,"United States,United Kingdom","AI-Film,Altitude Film,BlockBox Entertainment",https://www.imdb.com/title/tt11003218/
Kate,There's No Time For Mercy,1,Cedric Nicolas-Troyan,1,Umair Aleem,"Mary Elizabeth Winstead,Woody Harrelson,Miku Patricia Martineau",2021,0,"Action,Adventure,Crime,Drama,Thriller",1,0,6.2,53793,47.0,106,United States,"87North,Clubhouse Pictures (II),Screen Arcade",https://www.imdb.com/title/tt7737528/
Those Who Wish Me Dead,,1,Taylor Sheridan,3,"Michael Koryta(screenplay by),Charles Leavitt(screenplay by),Taylor Sheridan(screenplay by)","Angelina Jolie,Nicholas Hoult,Finn Little",2021,0,"Action,Crime,Drama,Thriller",0,0,6.0,53642,59.0,100,"Canada,United States","New Line Cinema,BRON Studios,Creative Wealth Media Finance",https://www.imdb.com/title/tt3215824/
Without Remorse,,1,Stefano Sollima,3,"Taylor Sheridan(screenplay by),Will Staples(screenplay by),Tom Clancy(based on the novel by)","Michael B. Jordan,Jodie Turner-Smith,Jamie Bell",2021,0,"Action,Thriller,War",1,0,5.8,53427,41.0,109,United States,"Amazon Studios,Paramount Pictures,Skydance Media",https://www.imdb.com/title/tt0499097/
The Harder They Fall,New Blood in the Old West,1,Jeymes Samuel,2,"Jeymes Samuel(screenplay by),Boaz Yakin(screenplay by)","Jonathan Majors,Zazie Beetz,RJ Cyler",2021,0,"Action,Drama,Western",79,12,6.6,52706,68.0,139,United States,"Overbrook Entertainment,Overlook Entertainment,Netflix",https://www.imdb.com/title/tt10696784/
Candyman,Dare to Say His Name.,1,Nia DaCosta,3,"Jordan Peele(screenplay by),Win Rosenfeld(screenplay by),Nia DaCosta(screenplay by)","Yahya Abdul-Mateen II,Teyonah Parris,Nathan Stewart-Jarrett",2021,0,"Horror,Thriller",13,3,5.9,49199,72.0,91,"United States,Canada","Universal Pictures,Metro-Goldwyn-Mayer (MGM),BRON Studios",https://www.imdb.com/title/tt9347730/
Love Hard,,1,Hernan Jimenez,2,"Daniel Mackey,Rebecca Ewing","Nina Dobrev,Jimmy O. Yang,Darren Barnet",2021,0,"Comedy,Romance",0,0,6.3,46389,42.0,104,United States,Wonderland Sound and Vision,https://www.imdb.com/title/tt10752004/
Fear Street: Part Three - 1666,End the Curse,1,Leigh Janiak,3,"Phil Graziadei,Leigh Janiak,Kate Trefry","Kiana Madeira,Ashley Zukerman,Gillian Jacobs",2021,0,"Horror,Mystery",1,0,6.6,46036,68.0,114,United States,"Netflix,Chernin Entertainment",https://www.imdb.com/title/tt9701942/
Reminiscence,Don't Look Back,1,Lisa Joy,1,Lisa Joy,"Hugh Jackman,Rebecca Ferguson,Thandiwe Newton",2021,0,"Mystery,Romance,Sci-Fi,Thriller",1,0,5.9,45941,46.0,116,United States,"FilmNation Entertainment,Kilter Films,Michael De Luca Productions",https://www.imdb.com/title/tt3272066/
The Mauritanian,,1,Kevin Macdonald,3,"Michael Bronner(screenplay by),Rory Haines(screenplay by),Sohrab Noshirvani(screenplay by)","Tahar Rahim,Nouhe Hamady Bari,Saadna Hamoud",2021,0,"Biography,Drama,Thriller",17,3,7.5,45501,53.0,129,"United Kingdom,United States","Wonder Street,30WEST,BBC Films",https://www.imdb.com/title/tt4761112/
Spiral: From the Book of Saw,,1,Darren Lynn Bousman,2,"Josh Stolberg,Pete Goldfinger","Chris Rock,Samuel L. Jackson,Max Minghella",2021,0,"Crime,Drama,Horror,Mystery,Thriller",0,0,5.3,44543,40.0,93,"United States,Canada","Lionsgate,Twisted Pictures,Serendipity Productions",https://www.imdb.com/title/tt10342730/
Blood Red Sky,,1,Peter Thorwarth,2,"Stefan Holtz(scenario),Peter Thorwarth(scenario)","Peri Baumeister,Carl Anton Koch,Alexander Scheer",2021,0,"Action,Horror,Thriller",0,0,6.1,43583,43.0,121,"Germany,United States","Netflix,Rat Pack Filmproduktion,Sirena Film",https://www.imdb.com/title/tt6402468/
Stowaway,,1,Joe Penna,2,"Joe Penna,Ryan Morrison","Anna Kendrick,Daniel Dae Kim,Shamier Anderson",2021,0,"Adventure,Sci-Fi,Thriller",0,0,5.6,43178,63.0,116,"Germany,United States,United Kingdom","XYZ Films,Augenschein Filmproduktion,RISE PICTURES",https://www.imdb.com/title/tt9203694/
The Many Saints of Newark,A Sopranos Story,1,Alan Taylor,2,"David Chase(based on characters created by),Lawrence Konner","Alessandro Nivola,Leslie Odom Jr.,Jon Bernthal",2021,0,"Crime,Drama",3,0,6.3,43141,60.0,120,United States,"Chase Films,HBO Films,Home Box Office (HBO)",https://www.imdb.com/title/tt8110232/
King Richard,"Venus, Serena and a plan for greatness.",1,Reinaldo Marcus Green,1,Zach Baylin,"Will Smith,Aunjanue Ellis,Jon Bernthal",2021,0,"Biography,Drama,Sport",126,29,7.6,42873,76.0,144,United States,"Warner Bros.,Star Thrower Entertainment,Westbrook Studios",https://www.imdb.com/title/tt9620288/
Don't Breathe 2,,1,Rodo Sayagues,2,"Fede Alvarez(based on characters created by),Rodo Sayagues(based on characters created by)","Stephen Lang,Madelyn Grace,Brendan Sexton III",2021,0,"Action,Drama,Horror,Thriller",1,0,6.1,42392,46.0,98,United States,"Screen Gems,Stage 6 Films,Ghost House Pictures",https://www.imdb.com/title/tt6246322/
In the Heights,Turn Up the Volume on Your Dreams,1,Jon M. Chu,2,"Quiara Alegría Hudes(screenplay by),Lin-Manuel Miranda(based on the musical stage play: music and lyrics by)","Anthony Ramos,Corey Hawkins,Leslie Grace",2021,0,"Drama,Musical,Romance",40,6,7.3,42247,84.0,143,United States,"Warner Bros.,5000 Broadway Productions,Likely Story",https://www.imdb.com/title/tt1321510/
Pushpa: The Rise-Part 1,,1,Sukumar,3,"Sukumar(story),Srikanth Vissa(dialogue),Hussain Sha Kiran(additional screenplay)","Allu Arjun,Fahadh Faasil,Rashmika Mandanna",2021,0,"Action,Adventure,Crime,Drama,Thriller",0,0,7.9,41911,,179,India,"Mythri Movie Makers,Muttamsetty Media",https://www.imdb.com/title/tt9389998/
Infinite,,1,Antoine Fuqua,3,"Ian Shorr(screenplay by),Todd Stein(screen story by),D. Eric Maikranz(based on the book ""The Reincarnationist Papers"" by)","Mark Wahlberg,Chiwetel Ejiofor,Sophie Cookson",2021,0,"Action,Sci-Fi,Thriller",1,0,5.5,41469,28.0,106,United States,"Paramount Pictures,New Republic Pictures,Di Bonaventura Pictures",https://www.imdb.com/title/tt6654210/
