title,tagline,no_of_directors,directors,no_of_writers,writers,lead_stars,released_year,oscar_wins,genres,award_nominations,award_wins,rating,votes,metascore,duration,county_of_origins,production_companies,url
50/50,It takes a pair to beat the odds,1,Jonathan Levine,1,Will Reiser,"Joseph Gordon-Levitt,Seth Rogen,Anna Kendrick",2011,0,"Comedy,Drama,Romance",28,12,7.6,325411,72,100,United States,"Summit Entertainment,Mandate Pictures,Point Grey Pictures",https://www.imdb.com/title/tt1306980/
Hugo,One of the most legendary directors of our time takes you on an extraordinary adventure.,1,Martin Scorsese,2,"John Logan(screenplay by),Brian Selznick(based on the book entitled ""The Invention of Hugo Cabret"" by)","Asa Butterfield,Chloë Grace Moretz,Christopher Lee",2011,5,"Adventure,Drama,Family,Fantasy,Mystery",192,61,7.5,317132,83,126,"United States,United Kingdom,France","Paramount Pictures,GK Films,Infinitum Nihil",https://www.imdb.com/title/tt0970179/
Real Steel,"If you get one shot, make it real.",1,Shawn Levy,3,"John Gatins(screenplay),Dan Gilroy(story),Jeremy Leven(story)","Hugh Jackman,Evangeline Lilly,Dakota Goyo",2011,0,"Action,Drama,Sci-Fi,Sport",6,2,7.0,316949,56,127,"United States,India","Dreamworks Pictures,Touchstone Pictures,Reliance Entertainment",https://www.imdb.com/title/tt0433035/
Contagion,The world goes viral September 9,1,Steven Soderbergh,1,Scott Z. Burns,"Matt Damon,Kate Winslet,Jude Law",2011,0,"Drama,Thriller",14,2,6.8,297223,70,106,"United Arab Emirates,United States","Warner Bros.,Participant,Imagenation Abu Dhabi FZ",https://www.imdb.com/title/tt1598778/
Bridesmaids,Save the Date,1,Paul Feig,2,"Kristen Wiig,Annie Mumolo","Kristen Wiig,Maya Rudolph,Rose Byrne",2011,0,"Comedy,Romance",72,25,6.8,284773,75,125,United States,"Universal Pictures,Relativity Media,Apatow Productions",https://www.imdb.com/title/tt1478338/
Green Lantern,One of us... becomes one of them.,1,Martin Campbell,3,"Greg Berlanti(screenplay),Michael Green(screenplay),Marc Guggenheim(screenplay)","Ryan Reynolds,Blake Lively,Peter Sarsgaard",2011,0,"Action,Adventure,Sci-Fi",6,3,5.5,279168,39,114,United States,"Warner Bros.,De Line Pictures,DC Entertainment",https://www.imdb.com/title/tt1133985/
Kung Fu Panda 2,Ska2oosh!,1,Jennifer Yuh Nelson,3,"Jonathan Aibel,Glenn Berger,Ethan Reiff(based on the characters created by)","Jack Black(voice),Angelina Jolie(voice),Jackie Chan(voice)",2011,0,"Animation,Action,Adventure,Comedy,Family,Fantasy",47,5,7.2,272150,67,90,United States,DreamWorks Animation,https://www.imdb.com/title/tt1302011/
Unknown,Take back your life.,1,Jaume Collet-Serra,3,"Oliver Butcher(screenplay),Stephen Cornwell(screenplay),Didier Van Cauwelaert(novel ""Out of My Head"")","Liam Neeson,Diane Kruger,January Jones",2011,0,"Action,Mystery,Thriller",3,0,6.8,258047,56,113,"United Kingdom,Germany,France,United States","Dark Castle Entertainment,Panda Productions Inc.,Canal+",https://www.imdb.com/title/tt1401152/
Rango,From the director of 'Pirates of the Caribbean',1,Gore Verbinski,3,"John Logan(story),Gore Verbinski(story),James Ward Byrkit(story)","Johnny Depp(voice),Isla Fisher(voice),Timothy Olyphant(voice)",2011,1,"Animation,Action,Adventure,Comedy,Family,Western",25,46,7.2,253799,75,107,United States,"Paramount Pictures,Nickelodeon Movies,Blind Wink Productions",https://www.imdb.com/title/tt1192628/
The Adjustment Bureau,Fight for your fate.,1,George Nolfi,2,"George Nolfi(screenplay),Philip K. Dick(short story ""Adjustment Team"")","Matt Damon,Emily Blunt,Lisa Thoreson",2011,0,"Romance,Sci-Fi,Thriller",9,1,7.0,253378,60,106,United States,"Universal Pictures,Media Rights Capital (MRC),Gambit Pictures",https://www.imdb.com/title/tt1385826/
The Grey,Live or Die on This Day,1,Joe Carnahan,2,"Joe Carnahan(screenplay),Ian Mackenzie Jeffers(screenplay)","Liam Neeson,Dermot Mulroney,Frank Grillo",2011,0,"Action,Adventure,Drama,Thriller",8,2,6.8,248942,64,117,United States,"Open Road Films (II),Inferno Distribution,LD Entertainment",https://www.imdb.com/title/tt1601913/
Paul,There were many sights they planned to see. This was not one of them.,1,Greg Mottola,2,"Simon Pegg,Nick Frost","Simon Pegg,Nick Frost,Seth Rogen(voice)",2011,0,"Adventure,Comedy,Sci-Fi",9,2,7.0,246895,57,104,"United States,United Kingdom","Universal Pictures,Relativity Media,Working Title Films",https://www.imdb.com/title/tt1092026/
Sucker Punch,Feed Your Head,1,Zack Snyder,2,"Zack Snyder(screenplay),Steve Shibuya(screenplay)","Emily Browning,Vanessa Hudgens,Abbie Cornish",2011,0,"Action,Adventure,Fantasy",11,1,6.0,239554,33,110,"United States,Canada","Warner Bros.,Legendary Entertainment,Cruel & Unusual Films",https://www.imdb.com/title/tt0978764/
The Descendants,,1,Alexander Payne,3,"Alexander Payne(screenplay),Nat Faxon(screenplay),Jim Rash(screenplay)","George Clooney,Shailene Woodley,Amara Miller",2011,1,"Comedy,Drama",148,65,7.3,238992,84,115,United States,"Fox Searchlight Pictures,Ad Hominem Enterprises,Dune Entertainment",https://www.imdb.com/title/tt1033575/
The Artist,,1,Michel Hazanavicius,1,Michel Hazanavicius,"Jean Dujardin,Bérénice Bejo,John Goodman",2011,5,"Comedy,Drama,Romance",204,162,7.9,238127,89,100,"France,Belgium,United States","Studio 37,La Petite Reine,La Classe Américaine",https://www.imdb.com/title/tt1655442/
Jodaeiye Nader Az Simin,"Ugly truth, sweet lies",1,Asghar Farhadi,1,Asghar Farhadi,"Payman Maadi,Leila Hatami,Sareh Bayat",2011,1,Drama,50,89,8.3,237913,95,123,"Iran,France,Australia","Asghar Farhadi Productions,Dreamlab Films,MPA APSA Academy Film Fund",https://www.imdb.com/title/tt1832382/
Just Go with It,Sometimes a guy's best wingman... is a wingwoman.,1,Dennis Dugan,3,"Allan Loeb(screenplay),Timothy Dowling(screenplay),I.A.L. Diamond(screenplay ""Cactus Flower"")","Adam Sandler,Jennifer Aniston,Brooklyn Decker",2011,0,"Comedy,Romance",13,5,6.4,235975,33,117,United States,"Columbia Pictures,Happy Madison Productions",https://www.imdb.com/title/tt1564367/
The Twilight Saga: Breaking Dawn - Part 1,Forever is only the beginning,1,Bill Condon,2,"Melissa Rosenberg(screenplay),Stephenie Meyer(novel ""Breaking Dawn"")","Kristen Stewart,Robert Pattinson,Taylor Lautner",2011,0,"Adventure,Drama,Fantasy,Romance,Thriller",22,11,4.9,234727,45,117,United States,"Summit Entertainment,Sunswept Entertainment,TSBD Canada Productions",https://www.imdb.com/title/tt1324999/
I Am Number Four,,1,D.J. Caruso,3,"Alfred Gough(screenplay),Miles Millar(screenplay),Marti Noxon(screenplay)","Alex Pettyfer,Timothy Olyphant,Dianna Agron",2011,0,"Action,Adventure,Sci-Fi,Thriller",1,1,6.1,234664,36,111,"United States,India","Dreamworks Pictures,Reliance Big Entertainment,Bay Films",https://www.imdb.com/title/tt1464540/
The Lincoln Lawyer,,1,Brad Furman,2,"John Romano(screenplay),Michael Connelly(novel)","Matthew McConaughey,Marisa Tomei,Ryan Phillippe",2011,0,"Crime,Drama,Mystery,Thriller",1,0,7.3,229217,63,118,United States,"Lionsgate,Lakeshore Entertainment,Sidney Kimmel Entertainment",https://www.imdb.com/title/tt1189340/
The Adventures of Tintin,"This year, discover how far adventure will take you.",1,Steven Spielberg,3,"Hergé(based on ""The Adventures of Tintin"" by),Steven Moffat(screenplay by),Edgar Wright(screenplay by)","Jamie Bell(voice),Andy Serkis(voice),Daniel Craig(voice)",2011,0,"Animation,Action,Adventure,Family,Mystery",63,22,7.3,226438,68,107,"United States,New Zealand,United Kingdom,France,Australia","Columbia Pictures,Paramount Pictures,Amblin Entertainment",https://www.imdb.com/title/tt0983193/
No Strings Attached,Friendship has its benefits,1,Ivan Reitman,2,"Elizabeth Meriwether(screenplay),Michael Samonek(story)","Natalie Portman,Ashton Kutcher,Kevin Kline",2011,0,"Comedy,Romance",7,2,6.2,224697,50,108,"United States,United Kingdom","Paramount Pictures,Cold Spring Pictures,Spyglass Entertainment",https://www.imdb.com/title/tt1411238/
The Ides of March,Ambition seduces. Power corrupts.,1,George Clooney,3,"George Clooney(screenplay),Grant Heslov(screenplay),Beau Willimon(screenplay)","Paul Giamatti,George Clooney,Philip Seymour Hoffman",2011,0,"Drama,Thriller",36,9,7.1,220582,67,101,United States,"Columbia Pictures,Cross Creek Pictures,Exclusive Media Group",https://www.imdb.com/title/tt1124035/
Rio,The bird who never learned to fly will discover a place he can soar.,1,Carlos Saldanha,3,"Carlos Saldanha(story by),Earl Richey Jones(story by),Todd R. Jones(story by)","Jesse Eisenberg(voice),Anne Hathaway(voice),George Lopez(voice)",2011,0,"Animation,Adventure,Comedy,Family,Music,Musical",31,3,6.9,219890,63,96,United States,"Twentieth Century Fox Animation,Blue Sky Studios",https://www.imdb.com/title/tt1436562/
Cowboys & Aliens,First contact. Last stand.,1,Jon Favreau,3,"Roberto Orci(screenplay),Alex Kurtzman(screenplay),Damon Lindelof(screenplay)","Daniel Craig,Harrison Ford,Olivia Wilde",2011,0,"Action,Sci-Fi,Thriller,Western",17,1,6.0,217165,50,119,"United States,India","Universal Pictures,Dreamworks Pictures,Reliance Entertainment",https://www.imdb.com/title/tt0409847/
Bad Teacher,"She doesn't give an ""F.""",1,Jake Kasdan,2,"Gene Stupnitsky,Lee Eisenberg","Cameron Diaz,Jason Segel,Justin Timberlake",2011,0,"Comedy,Romance",4,6,5.6,200385,47,92,United States,"Columbia Pictures,Mosaic",https://www.imdb.com/title/tt1284575/
Serbuan Maut,"1 Ruthless Crime Lord, 20 Elite Cops, 30 Floors of Hell",1,Gareth Evans,1,Gareth Evans,"Iko Uwais,Ananda George,Ray Sahetapy",2011,0,"Action,Crime,Thriller",18,9,7.6,199716,73,101,"Indonesia,France,United States","Pt. Merantau Films,Stage 6 Films,Celluloid Dreams",https://www.imdb.com/title/tt1899353/
Tinker Tailor Soldier Spy,How do you find an enemy who is hidden right before your eyes?,1,Tomas Alfredson,3,"John le Carré(novel),Bridget O'Connor(screenplay by),Peter Straughan(screenplay by)","Gary Oldman,Colin Firth,Tom Hardy",2011,0,"Drama,Mystery,Thriller",100,35,7.1,197502,85,122,"United Kingdom,France,Germany,United States","StudioCanal,Karla Films,Paradis Films",https://www.imdb.com/title/tt1340800/
Hanna,Adapt or Die,1,Joe Wright,2,"Seth Lochhead(screenplay),David Farr(screenplay)","Saoirse Ronan,Cate Blanchett,Eric Bana",2011,0,"Action,Adventure,Drama,Thriller",26,8,6.8,196463,65,111,"United States,United Kingdom,Germany","Focus Features,Holleran Company,Sechzehnte Babelsberg Film",https://www.imdb.com/title/tt0993842/
Shame,,1,Steve McQueen,3,"Steve McQueen,Abi Morgan,Harold Manning(french adaptation)","Michael Fassbender,Carey Mulligan,James Badge Dale",2011,0,Drama,94,50,7.2,191922,72,101,"United Kingdom,Canada,United States","Fox Searchlight Pictures,Film4,UK Film Council",https://www.imdb.com/title/tt1723811/
Battle: Los Angeles,It's not war. It's survival.,1,Jonathan Liebesman,1,Christopher Bertolini,"Aaron Eckhart,Michelle Rodriguez,Bridget Moynahan",2011,0,"Action,Sci-Fi",4,1,5.7,178301,37,116,United States,"Columbia Pictures,Relativity Media,Original Film",https://www.imdb.com/title/tt1217613/
The Change-Up,Who says men can't change?,1,David Dobkin,2,"Jon Lucas,Scott Moore","Jason Bateman,Ryan Reynolds,Olivia Wilde",2011,0,"Comedy,Fantasy",1,0,6.3,178228,39,112,United States,"Universal Pictures,Relativity Media,Original Film",https://www.imdb.com/title/tt1488555/
Melancholia,Enjoy it while it lasts,1,Lars von Trier,1,Lars von Trier,"Kirsten Dunst,Charlotte Gainsbourg,Kiefer Sutherland",2011,0,"Drama,Sci-Fi",95,35,7.2,177697,80,135,"Denmark,Sweden,France,Germany","Zentropa Entertainments,Memfis Film,Zentropa International Sweden",https://www.imdb.com/title/tt1527186/
Cars 2,Going where no car has gone before.,2,"John Lasseter,Bradford Lewis",3,"John Lasseter(original story by),Bradford Lewis(original story by),Dan Fogelman(original story by)","Owen Wilson(voice),Larry the Cable Guy(voice),Michael Caine(voice)",2011,0,"Animation,Adventure,Comedy,Family,Sport",19,1,6.1,177461,57,106,United States,"Walt Disney Pictures,Pixar Animation Studios",https://www.imdb.com/title/tt1216475/
The Tree of Life,,1,Terrence Malick,1,Terrence Malick,"Brad Pitt,Sean Penn,Jessica Chastain",2011,0,"Drama,Fantasy",130,116,6.8,174111,85,139,United States,"Cottonwood Pictures,River Road Entertainment,Fox Searchlight Pictures",https://www.imdb.com/title/tt0478304/
Immortals,The Gods Need a Hero,1,Tarsem Singh,2,"Charley Parlapanides,Vlas Parlapanides","Henry Cavill,Mickey Rourke,John Hurt",2011,0,"Action,Drama,Fantasy,Romance",6,1,6.0,166135,46,110,"United States,Canada,United Kingdom","Relativity Media,Virgin Produced,Mark Canton Productions",https://www.imdb.com/title/tt1253864/
The Green Hornet,Protect the law by breaking it.,1,Michel Gondry,3,"Seth Rogen,Evan Goldberg,George W. Trendle(radio series ""The Green Hornet"")","Seth Rogen,Jay Chou,Christoph Waltz",2011,0,"Action,Comedy,Crime",7,4,5.8,159142,39,119,United States,"Columbia Pictures,Original Film,K/O Camera Toys",https://www.imdb.com/title/tt0990407/
The Mechanic,Someone has to fix the problems.,1,Simon West,2,"Richard Wenk(screenplay),Lewis John Carlino(screenplay)","Jason Statham,Ben Foster,Donald Sutherland",2011,0,"Action,Crime,Thriller",1,0,6.6,157982,49,93,United States,"CBS Films,Millennium Films,Chartoff-Winkler Productions",https://www.imdb.com/title/tt0472399/
War Horse,Separated by war. Tested by battle. Bound by friendship.,1,Steven Spielberg,3,"Lee Hall(screenplay by),Richard Curtis(screenplay by),Michael Morpurgo(based on the novel by)","Jeremy Irvine,Emily Watson,David Thewlis",2011,0,"Action,Adventure,Drama,History,War",77,15,7.2,154188,72,146,"United States,India","Dreamworks Pictures,Touchstone Pictures,Reliance Entertainment",https://www.imdb.com/title/tt1568911/
Puss in Boots,Looking good never looked so good.,1,Chris Miller,3,"Tom Wheeler(screenplay by),Brian Lynch(story by),William Davies(story by)","Antonio Banderas(voice),Salma Hayek(voice),Zach Galifianakis(voice)",2011,0,"Animation,Adventure,Comedy,Family,Fantasy",43,9,6.6,153644,65,90,United States,"DreamWorks Animation,Pacific Data Images (PDI)",https://www.imdb.com/title/tt0448694/
We Need to Talk About Kevin,Mummy's little monster...,1,Lynne Ramsay,3,"Lynne Ramsay(screenplay),Rory Stewart Kinnear(screenplay),Lionel Shriver(novel)","Tilda Swinton,John C. Reilly,Ezra Miller",2011,0,"Drama,Mystery,Thriller",66,26,7.5,148845,68,112,"United Kingdom,United States","BBC Films,UK Film Council,Footprint Investment Fund",https://www.imdb.com/title/tt1242460/
One Day,Twenty years. Two people.,1,Lone Scherfig,1,David Nicholls(screenplay),"Anne Hathaway,Jim Sturgess,Patricia Clarkson",2011,0,"Drama,Romance",2,1,7.0,148576,48,107,"United States,United Kingdom","Focus Features,Random House Films,Film4",https://www.imdb.com/title/tt1563738/
La Piel Que Habito,,1,Pedro Almodóvar,3,"Pedro Almodóvar(screenplay),Agustín Almodóvar(with the collaboration of),Thierry Jonquet(based on the novel: ""Mygale"")","Antonio Banderas,Elena Anaya,Jan Cornet",2011,0,"Drama,Horror,Thriller",69,28,7.6,148100,70,120,"Spain,United States","Blue Haze Entertainment,Canal+ España,El Deseo",https://www.imdb.com/title/tt1189073/
Scream 4,New decade. New rules.,1,Wes Craven,1,Kevin Williamson(based on characters created by),"Neve Campbell,Courteney Cox,David Arquette",2011,0,"Horror,Mystery",6,1,6.2,142233,52,111,United States,"Dimension Films,Corvus Corax Productions,Outerbanks Entertainment",https://www.imdb.com/title/tt1262416/
We Bought a Zoo,A true zoo story.,1,Cameron Crowe,3,"Aline Brosh McKenna(screenplay),Cameron Crowe(screenplay),Benjamin Mee(book)","Matt Damon,Scarlett Johansson,Thomas Haden Church",2011,0,"Comedy,Drama,Family",8,1,7.1,141173,58,124,United States,"Twentieth Century Fox,LBI Entertainment,Vinyl Films",https://www.imdb.com/title/tt1389137/
Tower Heist,It's not just a robbery. It's payback.,1,Brett Ratner,3,"Adam Cooper(story),Bill Collage(story),Ted Griffin(story)","Eddie Murphy,Ben Stiller,Casey Affleck",2011,0,"Action,Comedy,Crime",3,0,6.2,140378,59,104,United States,"Universal Pictures,Imagine Entertainment,Relativity Media",https://www.imdb.com/title/tt0471042/
The Thing,It's not human. Yet.,1,Matthijs van Heijningen Jr.,2,"Eric Heisserer,John W. Campbell Jr.(short story ""Who Goes There?"")","Mary Elizabeth Winstead,Joel Edgerton,Ulrich Thomsen",2011,0,"Horror,Mystery,Sci-Fi",5,0,6.2,129124,49,103,"Canada,United States","Morgan Creek Entertainment,Universal Pictures,Strike Entertainment",https://www.imdb.com/title/tt0905372/
Killer Elite,May the Best Man Live,1,Gary McKendry,2,"Matt Sherring(screenplay),Ranulph Fiennes(book ""The Feather Men"")","Jason Statham,Clive Owen,Robert De Niro",2011,0,"Action,Crime,Thriller",8,2,6.4,128086,44,116,"United Kingdom,Australia","Omnilab Media,Ambience Entertainment,Current Entertainment",https://www.imdb.com/title/tt1448755/
Johnny English Reborn,A little intelligence goes a long way,1,Oliver Parker,3,"Hamish McColl(screenplay),William Davies(story),Neal Purvis(characters)","Rowan Atkinson,Rosamund Pike,Dominic West",2011,0,"Action,Adventure,Comedy",4,0,6.3,127479,46,101,"United Kingdom,France,United States","Universal Pictures,Relativity Media,StudioCanal",https://www.imdb.com/title/tt1634122/
J. Edgar,The Most Powerful Man in the World,1,Clint Eastwood,1,Dustin Lance Black,"Leonardo DiCaprio,Armie Hammer,Naomi Watts",2011,0,"Biography,Drama,Romance",17,5,6.5,126989,59,137,United States,"Imagine Entertainment,Malpaso Productions,Wintergreen Productions",https://www.imdb.com/title/tt1616195/
Carnage,A new comedy of no manners.,1,Roman Polanski,3,"Yasmina Reza(based on the play 'Le Dieu du Carnage' by),Michael Katims(translated by),Roman Polanski(screenplay by)","Jodie Foster,Kate Winslet,Christoph Waltz",2011,0,"Comedy,Drama",20,7,7.2,125037,61,80,"France,Germany,Poland,Spain,United States","SBS Productions,Constantin Film,SPI Film Studio",https://www.imdb.com/title/tt1692486/
