title,tagline,no_of_directors,directors,no_of_writers,writers,lead_stars,released_year,oscar_wins,genres,award_nominations,award_wins,rating,votes,metascore,duration,county_of_origins,production_companies,url
Harry Potter and the Deathly Hallows: Part 2,It All Ends Here,1,David Yates,2,"Steve Kloves(screenplay),J.K. Rowling(novel ""Harry Potter and the Deathly Hallows"")","Daniel Radcliffe,Emma Watson,Rupert Grint",2011,0,"Adventure,Fantasy,Mystery",94,46,8.1,830086,85,130,"United Kingdom,United States","Warner Bros.,Heyday Films,Moving Picture Company (MPC)",https://www.imdb.com/title/tt1201607/
Intouchables,Sometimes you have to reach into someone else's world to find out what's missing in your own.,2,"Olivier Nakache,Éric Toledano",3,"Olivier Nakache,Philippe Pozzo di Borgo(adapted from his autobiographical tale Le Second Souffle),Éric Toledano","François Cluzet,Omar Sy,Anne Le Ny",2011,0,"Biography,Comedy,Drama",40,38,8.5,818075,57,112,France,"Quad,Ten Films,Canal+",https://www.imdb.com/title/tt1675434/
Captain America: The First Avenger,When patriots become heroes,1,Joe Johnston,3,"Christopher Markus(screenplay),Stephen McFeely(screenplay),Joe Simon(comic books)","Chris Evans,Hugo Weaving,Samuel L. Jackson",2011,0,"Action,Adventure,Sci-Fi",46,4,6.9,806036,66,124,United States,"Paramount Pictures,Marvel Entertainment,Marvel Studios",https://www.imdb.com/title/tt0458339/
Thor,Two worlds. One hero.,1,Kenneth Branagh,3,"Ashley Miller(screenplay),Zack Stentz(screenplay),Don Payne(screenplay)","Chris Hemsworth,Anthony Hopkins,Natalie Portman",2011,0,"Action,Adventure,Fantasy",30,5,7.0,805156,57,115,United States,"Paramount Pictures,Marvel Entertainment,Marvel Studios",https://www.imdb.com/title/tt0800369/
X: First Class,"Before he was Professor X, he was Charles. Before he was Magneto, he was Erik. Before they were enemies, they were allies.",1,Matthew Vaughn,3,"Ashley Miller(screenplay by),Zack Stentz(screenplay by),Jane Goldman(screenplay by)","James McAvoy,Michael Fassbender,Jennifer Lawrence",2011,0,"Action,Adventure,Sci-Fi",39,21,7.7,672659,65,131,"United States,United Kingdom","Twentieth Century Fox,Marvel Entertainment,Dune Entertainment",https://www.imdb.com/title/tt1270798/
Drive,Some Heroes Are Real,1,Nicolas Winding Refn,2,"Hossein Amini(screenplay),James Sallis(book)","Ryan Gosling,Carey Mulligan,Bryan Cranston",2011,0,"Action,Drama",180,79,7.8,608520,78,100,United States,"FilmDistrict,Bold Films,MWM Studios",https://www.imdb.com/title/tt0780504/
Limitless,What if a pill could make you rich and powerful?,1,Neil Burger,2,"Leslie Dixon(screenplay),Alan Glynn(novel ""The Dark Fields"")","Bradley Cooper,Anna Friel,Abbie Cornish",2011,0,"Sci-Fi,Thriller",8,2,7.4,554534,59,105,United States,"Relativity Media,Virgin Produced,Rogue",https://www.imdb.com/title/tt1219289/
Rise of the Planet of the Apes,Evolution Becomes Revolution,1,Rupert Wyatt,3,"Rick Jaffa,Amanda Silver,Pierre Boulle(based on the novel ""La Planète des Singes"" by)","James Franco,Andy Serkis,Freida Pinto",2011,0,"Action,Drama,Sci-Fi,Thriller",43,21,7.5,514759,68,105,"United States,United Kingdom,Canada","Twentieth Century Fox,Dune Entertainment,Chernin Entertainment",https://www.imdb.com/title/tt1318514/
Source Code,Make every second count,1,Duncan Jones,1,Ben Ripley,"Jake Gyllenhaal,Michelle Monaghan,Vera Farmiga",2011,0,"Action,Drama,Mystery,Sci-Fi,Thriller",8,1,7.5,506988,74,93,"United States,Canada,France,Germany","Summit Entertainment,Vendome Pictures,StudioCanal",https://www.imdb.com/title/tt0945513/
Pirates of the Caribbean: On Stranger Tides,Pirate's Life.,1,Rob Marshall,3,"Ted Elliott(screenplay),Terry Rossio(screenplay),Stuart Beattie(characters)","Johnny Depp,Penélope Cruz,Ian McShane",2011,0,"Action,Adventure,Fantasy",31,3,6.6,506785,45,137,"United States,United Kingdom","Walt Disney Pictures,Jerry Bruckheimer Films,Moving Picture Company (MPC)",https://www.imdb.com/title/tt1298650/
"Crazy, Stupid, Love.",This Is Crazy,2,"Glenn Ficarra,John Requa",1,Dan Fogelman,"Steve Carell,Ryan Gosling,Julianne Moore",2011,0,"Comedy,Drama,Romance",23,4,7.4,502123,68,118,United States,Carousel Productions (II),https://www.imdb.com/title/tt1570728/
The Hangover Part II,The Wolfpack Is Back,1,Todd Phillips,3,"Craig Mazin,Scot Armstrong,Todd Phillips","Bradley Cooper,Zach Galifianakis,Ed Helms",2011,0,Comedy,18,5,6.5,485495,44,102,United States,"Warner Bros.,Legendary Entertainment,Green Hat Films",https://www.imdb.com/title/tt1411697/
Mission: Impossible - Ghost Protocol,No Plan. No Backup. No Choice.,1,Brad Bird,3,"Bruce Geller(television series ""Mission: Impossible""),Josh Appelbaum,André Nemec","Tom Cruise,Jeremy Renner,Simon Pegg",2011,0,"Action,Adventure,Thriller",30,5,7.4,476535,73,132,United States,"Paramount Pictures,Skydance Media,TC Productions",https://www.imdb.com/title/tt1229238/
Warrior,Fight for Country,1,Gavin O'Connor,3,"Gavin O'Connor(screenplay),Anthony Tambakis(screenplay),Cliff Dorfman(screenplay)","Tom Hardy,Nick Nolte,Joel Edgerton",2011,0,"Action,Drama,Sport",22,5,8.1,457423,71,140,United States,"Lionsgate,Mimran Schur Pictures,Solaris",https://www.imdb.com/title/tt1291584/
The Girl with the Dragon Tattoo,Evil shall with evil be expelled,1,David Fincher,2,"Steven Zaillian(screenplay by),Stieg Larsson(novel ""Män som hatar kvinnor"")","Daniel Craig,Rooney Mara,Christopher Plummer",2011,1,"Crime,Drama,Mystery,Thriller",91,27,7.8,450129,71,158,"United States,Sweden,Norway","Columbia Pictures,Metro-Goldwyn-Mayer (MGM),Scott Rudin Productions",https://www.imdb.com/title/tt1568346/
The Help,Change begins with a whisper.,1,Tate Taylor,2,"Tate Taylor(screenplay),Kathryn Stockett(novel)","Emma Stone,Viola Davis,Octavia Spencer",2011,1,Drama,121,79,8.0,444458,62,146,United States,"DreamWorks,Dreamworks Pictures,Reliance Film & Entertainment",https://www.imdb.com/title/tt1454029/
Sherlock Holmes: A Game of Shadows,,1,Guy Ritchie,3,"Michele Mulroney,Kieran Mulroney,Arthur Conan Doyle(characters)","Robert Downey Jr.,Jude Law,Jared Harris",2011,0,"Action,Adventure,Mystery",11,3,7.5,441311,48,129,"United States,United Kingdom","Warner Bros.,Village Roadshow Pictures,Silver Pictures",https://www.imdb.com/title/tt1515091/
Horrible Bosses,Is your boss a slave-driving psycho?,1,Seth Gordon,3,"Michael Markowitz(screenplay),John Francis Daley(screenplay),Jonathan Goldstein(screenplay)","Jason Bateman,Charlie Day,Jason Sudeikis",2011,0,"Comedy,Crime",14,3,6.8,438343,57,98,United States,"New Line Cinema,Rat Entertainment",https://www.imdb.com/title/tt1499658/
Midnight in Paris,,1,Woody Allen,1,Woody Allen,"Owen Wilson,Rachel McAdams,Kathy Bates",2011,1,"Comedy,Fantasy,Romance",103,26,7.7,410831,81,94,"Spain,United States,France","Mediapro,Versátil Cinema,Gravier Productions",https://www.imdb.com/title/tt1605783/
Moneyball,What are you really worth?,1,Bennett Miller,3,"Steven Zaillian(screenplay),Aaron Sorkin(screenplay),Stan Chervin(story)","Brad Pitt,Robin Wright,Jonah Hill",2011,0,"Biography,Drama,Sport",82,29,7.6,403603,87,133,United States,"Columbia Pictures,Scott Rudin Productions,Michael De Luca Productions",https://www.imdb.com/title/tt1210166/
The Cabin in the Woods,If you hear a strange sound outside... have sex.,1,Drew Goddard,2,"Joss Whedon,Drew Goddard","Kristen Connolly,Chris Hemsworth,Anna Hutchison",2011,0,"Horror,Mystery,Thriller",34,20,7.0,401473,72,95,United States,"Lionsgate,Mutant Enemy,Metro-Goldwyn-Mayer (MGM)",https://www.imdb.com/title/tt1259521/
Transformers: Dark of the Moon,Earth goes dark,1,Michael Bay,1,Ehren Kruger,"Shia LaBeouf,Rosie Huntington-Whiteley,Tyrese Gibson",2011,0,"Action,Adventure,Sci-Fi",42,10,6.2,398954,42,154,United States,"Paramount Pictures,DreamWorks,Hasbro",https://www.imdb.com/title/tt1399103/
In Time,Time Is Power,1,Andrew Niccol,1,Andrew Niccol,"Justin Timberlake,Amanda Seyfried,Cillian Murphy",2011,0,"Action,Sci-Fi,Thriller",2,0,6.7,396433,53,109,United States,"New Regency Productions,New Regency Productions,Strike Entertainment",https://www.imdb.com/title/tt1637688/
Fast Five,Feel the Speed. Feel the Rush.,1,Justin Lin,2,"Chris Morgan,Gary Scott Thompson(characters)","Vin Diesel,Paul Walker,Dwayne Johnson",2011,0,"Action,Crime,Thriller",21,9,7.3,371795,66,130,United States,"Universal Pictures,Original Film,One Race Productions",https://www.imdb.com/title/tt1596343/
Friends with Benefits,Friendship is a four-letter word.,1,Will Gluck,3,"Keith Merryman(screenplay),David A. Newman(screenplay),Will Gluck(screenplay)","Mila Kunis,Justin Timberlake,Patricia Clarkson",2011,0,"Comedy,Romance",5,1,6.5,357626,63,109,United States,"Screen Gems,Castle Rock Entertainment,Zucker Productions",https://www.imdb.com/title/tt1632708/
Super 8,It arrives.,1,J.J. Abrams,1,J.J. Abrams,"Elle Fanning,AJ Michalka,Kyle Chandler",2011,0,"Action,Mystery,Sci-Fi,Thriller",70,11,7.0,348846,72,112,United States,"Paramount Pictures,Amblin Entertainment,Bad Robot",https://www.imdb.com/title/tt1650062/
