title,tagline,no_of_directors,directors,no_of_writers,writers,lead_stars,released_year,oscar_wins,genres,award_nominations,award_wins,rating,votes,metascore,duration,county_of_origins,production_companies,url
Blended,,1,Frank Coraci,2,"Ivan Menchell,Clare Sera","Adam Sandler,Drew Barrymore,Wendi McLendon-Covey",2014,0,"Comedy,Romance",10,1,6.5,128173,31.0,117,United States,"Gulfstream Pictures,Happy Madison Productions,Karz Entertainment",https://www.imdb.com/title/tt1086772/
Wild,Based on the inspirational best seller.,1,Jean-Marc Vallée,2,"Nick Hornby(screenplay by),Cheryl Strayed(memoir ""Wild: From Lost to Found on the Pacific Crest Trail"")","Reese Witherspoon,Laura Dern,Gaby Hoffmann",2014,0,"Adventure,Biography,Drama",69,13,7.1,126767,74.0,115,United States,"Bob Industries,Fox Searchlight Pictures,Pacific Standard",https://www.imdb.com/title/tt2305051/
I Origins,,1,Mike Cahill,1,Mike Cahill,"Michael Pitt,Steven Yeun,Astrid Bergès-Frisbey",2014,0,"Drama,Mystery,Romance,Sci-Fi",3,2,7.4,122448,57.0,106,United States,"Verisimilitude,WeWork Studios,Bersin Pictures",https://www.imdb.com/title/tt2884206/
If I Stay,Live for Love,1,R.J. Cutler,2,"Shauna Cross(screenplay),Gayle Forman(novel)","Chloë Grace Moretz,Mireille Enos,Jamie Blackley",2014,0,"Drama,Fantasy,Music,Romance,Sci-Fi",1,3,6.7,120993,46.0,107,United States,"DiNovi Pictures,Metro-Goldwyn-Mayer (MGM),New Line Cinema",https://www.imdb.com/title/tt1355630/
Serbuan Maut 2: Berandal,It's Not Over Yet,1,Gareth Evans,1,Gareth Evans,"Iko Uwais,Yayan Ruhian,Arifin Putra",2014,0,"Action,Crime,Thriller",10,5,8.0,120394,71.0,150,"Indonesia,United States","Sony Pictures Classics,Stage 6 Films,Pt. Merantau Films",https://www.imdb.com/title/tt2265171/
A Walk Among the Tombstones,People are afraid of all the wrong things.,1,Scott Frank,2,"Lawrence Block(based on the novel by),Scott Frank(written for the screen by)","Liam Neeson,Dan Stevens,David Harbour",2014,0,"Action,Crime,Drama,Mystery,Thriller",1,0,6.5,118240,57.0,114,United States,"1984 Private Defense Contractors,Cross Creek Pictures,Da Vinci Media Ventures",https://www.imdb.com/title/tt0365907/
Night at the Museum: Secret of the Tomb,One final night to save the day,1,Shawn Levy,3,"David Guion(screenplay),Michael Handelman(screenplay),Mark Friedman(story)","Ben Stiller,Robin Williams,Owen Wilson",2014,0,"Adventure,Comedy,Family,Fantasy",4,1,6.2,117089,47.0,98,"United Kingdom,United States","Twentieth Century Fox,21 Laps Entertainment,1492 Pictures",https://www.imdb.com/title/tt2692250/
The Giver,You can make things better.,1,Phillip Noyce,3,"Michael Mitnick(screenplay),Robert B. Weide(screenplay),Lois Lowry(book)","Brenton Thwaites,Jeff Bridges,Meryl Streep",2014,0,"Drama,Romance,Sci-Fi,Thriller",6,3,6.5,117034,47.0,97,"United States,South Africa,Canada","Tonik Productions,Asis Productions,Canada Film Capital",https://www.imdb.com/title/tt0435651/
Sex Tape,A movie about a movie they don't want you to see.,1,Jake Kasdan,3,"Kate Angelo(screenplay),Jason Segel(screenplay),Nicholas Stoller(screenplay)","Jason Segel,Cameron Diaz,Rob Corddry",2014,0,"Comedy,Romance",3,2,5.1,111226,36.0,94,United States,"Columbia Pictures,Media Rights Capital (MRC),LStar Capital",https://www.imdb.com/title/tt1956620/
Ride Along,Propose to this cop's sister? Rookie mistake.,1,Tim Story,3,"Greg Coolidge(screenplay),Jason Mantzoukas(screenplay),Phil Hay(screenplay)","Ice Cube,Kevin Hart,Tika Sumpter",2014,0,"Action,Comedy,Crime",7,1,6.2,110823,41.0,99,United States,"Universal Pictures,Relativity Media,Cube Vision",https://www.imdb.com/title/tt1408253/
