title,tagline,no_of_directors,directors,no_of_writers,writers,lead_stars,released_year,oscar_wins,genres,award_nominations,award_wins,rating,votes,metascore,duration,county_of_origins,production_companies,url
22 Jump Street,They're not 21 anymore,2,"Phil Lord,Christopher Miller",3,"Michael Bacall(screenplay),Oren Uziel(screenplay),Rodney Rothman(screenplay)","Channing Tatum,Jonah Hill,Ice Cube",2014,0,"Action,Comedy,Crime",25,7,7.0,365032,71.0,112,United States,"Columbia Pictures,Metro-Goldwyn-Mayer (MGM),LStar Capital",https://www.imdb.com/title/tt2294449/
Maleficent,Evil has a beginning.,1,Robert Stromberg,3,"Linda Woolverton(screenplay by),Charles Perrault(based on ""La Belle au bois dormant"" written by),Milt Banta(based on the motion picture ""Sleeping Beauty"", screenplay by)","Angelina Jolie,Elle Fanning,Sharlto Copley",2014,0,"Adventure,Family,Fantasy,Romance",43,12,7.0,364655,56.0,97,United States,"Jolie Pas,Roth Films,Walt Disney Pictures",https://www.imdb.com/title/tt1587310/
The Fault in Our Stars,One sick love story,1,Josh Boone,3,"Scott Neustadter(screenplay),Michael H. Weber(screenplay),John Green(book)","Shailene Woodley,Ansel Elgort,Nat Wolff",2014,0,"Drama,Romance",17,21,7.7,364271,69.0,126,United States,"Fox 2000 Pictures,Temple Hill Entertainment,TSG Entertainment",https://www.imdb.com/title/tt2582846/
The Equalizer,What do you see when you look at me?,1,Antoine Fuqua,3,"Richard Wenk,Michael Sloan(based on the television series created by),Richard Lindheim(based on the television series created by)","Denzel Washington,Marton Csokas,Chloë Grace Moretz",2014,0,"Action,Crime,Thriller",9,1,7.2,357939,57.0,132,United States,"Columbia Pictures,LStar Capital,Village Roadshow Pictures",https://www.imdb.com/title/tt0455944/
Boyhood,12 years in the making,1,Richard Linklater,1,Richard Linklater,"Ellar Coltrane,Patricia Arquette,Ethan Hawke",2014,1,Drama,218,173,7.9,348150,100.0,165,United States,"IFC Productions,Detour Filmproduction",https://www.imdb.com/title/tt1065073/
The Lego Movie,Assembling in 2014,2,"Christopher Miller,Phil Lord",3,"Phil Lord(screenplay by),Christopher Miller(screenplay by),Dan Hageman(story by)","Chris Pratt(voice),Will Ferrell(voice),Elizabeth Banks(voice)",2014,0,"Animation,Action,Adventure,Comedy,Family,Fantasy,Sci-Fi",67,72,7.7,341129,83.0,100,"United States,Denmark,Australia","Warner Bros.,Village Roadshow Pictures,RatPac-Dune Entertainment",https://www.imdb.com/title/tt1490017/
How to Train Your Dragon 2,,1,Dean DeBlois,2,"Dean DeBlois,Cressida Cowell(based upon the ""How to Train Your Dragon"" book series by)","Jay Baruchel(voice),Cate Blanchett(voice),Gerard Butler(voice)",2014,0,"Animation,Action,Adventure,Comedy,Family,Fantasy",61,15,7.8,323092,77.0,102,United States,"DreamWorks Animation,Mad Hatter Entertainment,Vertigo Entertainment",https://www.imdb.com/title/tt1646971/
The Interview,Their trip to North Korea just went south.,2,"Evan Goldberg,Seth Rogen",3,"Dan Sterling(screenplay),Seth Rogen(story),Evan Goldberg(story)","James Franco,Seth Rogen,Randall Park",2014,0,"Action,Adventure,Comedy",6,1,6.5,322109,52.0,112,United States,"Columbia Pictures,LStar Capital,Point Grey Pictures",https://www.imdb.com/title/tt2788710/
Transformers: Age of Extinction,Prepare for extinction.,1,Michael Bay,1,Ehren Kruger,"Mark Wahlberg,Nicola Peltz,Jack Reynor",2014,0,"Action,Adventure,Sci-Fi",23,5,5.6,308057,32.0,165,"United States,China,Hong Kong","Paramount Pictures,Hasbro,Di Bonaventura Pictures",https://www.imdb.com/title/tt2109248/
Neighbors,Family vs. frat,1,Nicholas Stoller,2,"Andrew Jay Cohen,Brendan O'Brien","Seth Rogen,Rose Byrne,Zac Efron",2014,0,Comedy,11,7,6.3,302677,68.0,97,United States,"Good Universe,Point Grey Pictures",https://www.imdb.com/title/tt2004420/
300: Rise of an Empire,Seize your glory,1,Noam Murro,3,"Zack Snyder(screenplay),Kurt Johnstad(screenplay),Frank Miller(graphic novel ""Xerxes"")","Sullivan Stapleton,Eva Green,Lena Headey",2014,0,"Action,Drama",7,2,6.2,292643,48.0,102,United States,"Warner Bros.,Legendary Entertainment,Cruel & Unusual Films",https://www.imdb.com/title/tt1253863/
Predestination,"To save the future, he must reshape the past.",2,"Michael Spierig,Peter Spierig",3,"Michael Spierig,Peter Spierig,Robert A. Heinlein(based on the short story ""All You Zombies"" by)","Ethan Hawke,Sarah Snook,Noah Taylor",2014,0,"Action,Drama,Sci-Fi,Thriller",19,12,7.5,272483,69.0,97,"Australia,United States","Screen Australia,Screen Queensland,Blacklab Entertainment",https://www.imdb.com/title/tt2397535/
Non-Stop,The Hijacking Was Just the Beginning,1,Jaume Collet-Serra,3,"John W. Richardson(screenplay),Christopher Roach(screenplay),Ryan Engle(screenplay)","Liam Neeson,Julianne Moore,Scoot McNairy",2014,0,"Action,Mystery,Thriller",1,0,6.9,259998,56.0,106,"United Kingdom,France,United States,Canada","StudioCanal,Anton,Silver Pictures",https://www.imdb.com/title/tt2024469/
Noah,Rediscover the epic story of one man and the most remarkable event in our history.,1,Darren Aronofsky,2,"Darren Aronofsky,Ari Handel","Russell Crowe,Jennifer Connelly,Anthony Hopkins",2014,0,"Action,Adventure,Drama",19,1,5.7,251411,68.0,138,United States,"Paramount Pictures,New Regency Productions,Protozoa Pictures",https://www.imdb.com/title/tt1959490/
It Follows,It doesn't think. It doesn't feel. It doesn't give up.,1,David Robert Mitchell,1,David Robert Mitchell,"Maika Monroe,Keir Gilchrist,Olivia Luccardi",2014,0,"Horror,Mystery,Thriller",43,25,6.8,228975,83.0,100,United States,"Northern Lights Films,Animal Kingdom,Two Flints",https://www.imdb.com/title/tt3235888/
Transcendence,What if a new intelligence was born?,1,Wally Pfister,1,Jack Paglen,"Johnny Depp,Rebecca Hall,Morgan Freeman",2014,0,"Action,Drama,Sci-Fi,Thriller",5,3,6.2,224669,42.0,119,"United Kingdom,China,United States","Alcon Entertainment,DMG Entertainment,Straight Up Films",https://www.imdb.com/title/tt2209764/
RoboCop,We've got the future under control.,1,José Padilha,3,"Joshua Zetumer,Edward Neumeier,Michael Miner","Joel Kinnaman,Gary Oldman,Michael Keaton",2014,0,"Action,Crime,Sci-Fi,Thriller",1,4,6.1,223741,52.0,117,United States,"Metro-Goldwyn-Mayer (MGM),Columbia Pictures,Strike Entertainment",https://www.imdb.com/title/tt1234721/
The Babadook,If it's in a word. Or it's in a look. You can't get rid of ... The Babadook,1,Jennifer Kent,1,Jennifer Kent,"Essie Davis,Noah Wiseman,Daniel Henshall",2014,0,"Drama,Horror,Mystery,Thriller",64,56,6.8,213325,86.0,94,"Australia,Canada","Screen Australia,Causeway Films,The South Australian Film Corporation",https://www.imdb.com/title/tt2321549/
Chef,Starting from scratch never tasted so good.,1,Jon Favreau,1,Jon Favreau,"Jon Favreau,Robert Downey Jr.,Scarlett Johansson",2014,0,"Adventure,Comedy,Drama",4,2,7.3,209874,68.0,114,United States,"Aldamisa Entertainment,Fairview Entertainment,Kilburn Media",https://www.imdb.com/title/tt2883512/
Teenage Mutant Ninja Turtles,The leader. The brains. The attitude. And Mikey.,1,Jonathan Liebesman,3,"Josh Appelbaum,André Nemec,Evan Daugherty","Megan Fox,Will Arnett,William Fichtner",2014,0,"Action,Adventure,Comedy,Sci-Fi",11,1,5.8,207316,31.0,101,United States,"Paramount Pictures,Nickelodeon Movies,Platinum Dunes",https://www.imdb.com/title/tt1291150/
Relatos Salvajes,We can all lose control,1,Damián Szifron,2,"Germán Servidio(collaborating writer),Damián Szifron","Darío Grandinetti,María Marull,Mónica Villa",2014,0,"Comedy,Drama,Thriller",58,49,8.1,190889,77.0,122,"Argentina,Spain,France,United Kingdom","K&S Films,El Deseo,Televisión Federal (Telefe)",https://www.imdb.com/title/tt3011894/
Dracula Untold,The Legend Is Born,1,Gary Shore,3,"Matt Sazama(screenplay),Burk Sharpless(screenplay),Bram Stoker(characters)","Luke Evans,Dominic Cooper,Sarah Gadon",2014,0,"Action,Drama,Fantasy,Horror,War",5,3,6.3,189845,40.0,92,United States,"Universal Pictures,Legendary Entertainment,Michael De Luca Productions",https://www.imdb.com/title/tt0829150/
Taken 3,It Ends Here.,1,Olivier Megaton,2,"Luc Besson(characters),Robert Mark Kamen(based on characters created by)","Liam Neeson,Forest Whitaker,Maggie Grace",2014,0,"Action,Crime,Thriller",2,3,6.0,188198,26.0,108,"France,United States,Spain","EuropaCorp,M6 Films,Canal+",https://www.imdb.com/title/tt2446042/
The Judge,Defend your Honor.,1,David Dobkin,3,"Nick Schenk(screenplay),Bill Dubuque(screenplay),David Dobkin(story)","Robert Downey Jr.,Robert Duvall,Vera Farmiga",2014,0,"Crime,Drama",9,3,7.4,187623,48.0,141,United States,"Warner Bros.,Big Kid Pictures,Team Downey",https://www.imdb.com/title/tt1872194/
A Million Ways to Die in the West,From the guy who brought you Ted,1,Seth MacFarlane,3,"Seth MacFarlane,Alec Sulkin,Wellesley Wild","Seth MacFarlane,Charlize Theron,Liam Neeson",2014,0,"Comedy,Western",6,0,6.1,185657,44.0,116,United States,"Bluegrass Films,Fuzzy Door Productions,Media Rights Capital (MRC)",https://www.imdb.com/title/tt2557490/
The Expendables 3,New team. New attitude. New mission.,1,Patrick Hughes,3,"Sylvester Stallone(screenplay by),Creighton Rothenberger(screenplay),Katrin Benedikt(screenplay)","Sylvester Stallone,Jason Statham,Jet Li",2014,0,"Action,Adventure,Thriller",5,2,6.1,178187,35.0,126,"France,Germany,Bulgaria,United States","Lionsgate,Millennium Films,Nu Image Entertainment GmbH",https://www.imdb.com/title/tt2333784/
PK,,1,Rajkumar Hirani,2,"Rajkumar Hirani,Abhijat Joshi","Aamir Khan,Anushka Sharma,Sanjay Dutt",2014,0,"Comedy,Drama,Sci-Fi",15,20,8.1,175914,,153,"India,United States","Rajkumar Hirani Films,Vinod Chopra Productions",https://www.imdb.com/title/tt2338151/
What We Do in the Shadows,Some interviews with some vampires.,2,"Jemaine Clement,Taika Waititi",2,"Jemaine Clement,Taika Waititi","Jemaine Clement,Taika Waititi,Cori Gonzalez-Macuer",2014,0,"Comedy,Horror",18,26,7.7,174479,76.0,86,New Zealand,"Unison Films,Defender Films,Funny or Die",https://www.imdb.com/title/tt3416742/
Need for Speed,,1,Scott Waugh,2,"George Gatins(screenplay),John Gatins(story)","Aaron Paul,Dominic Cooper,Imogen Poots",2014,0,"Action,Crime,Thriller",5,1,6.4,168199,39.0,132,"United States,India","Dreamworks Pictures,Reliance Entertainment,Touchstone Pictures",https://www.imdb.com/title/tt2369135/
