title,tagline,no_of_directors,directors,no_of_writers,writers,lead_stars,released_year,oscar_wins,genres,award_nominations,award_wins,rating,votes,metascore,duration,county_of_origins,production_companies,url
Deadpool,With great power comes great irresponsibility.,1,Tim Miller,2,"Rhett Reese,Paul Wernick","Ryan Reynolds,Morena Baccarin,T.J. Miller",2016,0,"Action,Adventure,Comedy,Sci-Fi",78,28,8.0,977234,65.0,108,United States,"Twentieth Century Fox,Marvel Entertainment,Kinberg Genre",https://www.imdb.com/title/tt1431045/
Captain America: Civil War,Divided We Fall,2,"Anthony Russo,Joe Russo",3,"Christopher Markus(screenplay by),Stephen McFeely(screenplay by),Joe Simon(based on the Marvel comics by)","Chris Evans,Robert Downey Jr.,Scarlett Johansson",2016,0,"Action,Adventure,Sci-Fi",73,16,7.8,737074,75.0,147,United States,"Marvel Studios,Vita-Ray Dutch Productions (III),Studio Babelsberg",https://www.imdb.com/title/tt3498820/
Doctor Strange,Open your mind. Change your reality.,1,Scott Derrickson,3,"Jon Spaihts,Scott Derrickson,C. Robert Cargill","Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams",2016,0,"Action,Adventure,Fantasy,Sci-Fi",68,20,7.5,676493,72.0,115,United States,"Marvel Studios,Walt Disney Pictures",https://www.imdb.com/title/tt1211837/
Batman v Superman: Dawn of Justice,Who will win?,1,Zack Snyder,3,"Chris Terrio,David S. Goyer,Bob Kane(Batman created by)","Ben Affleck,Henry Cavill,Amy Adams",2016,0,"Action,Adventure,Sci-Fi",33,14,6.4,675986,44.0,152,United States,"Warner Bros.,Atlas Entertainment,Cruel & Unusual Films",https://www.imdb.com/title/tt2975590/
Suicide Squad,Justice has a bad side.,1,David Ayer,2,"David Ayer,John Ostrander(comic book)","Will Smith,Jared Leto,Margot Robbie",2016,1,"Action,Adventure,Fantasy,Sci-Fi",40,17,5.9,664132,40.0,123,United States,"Atlas Entertainment,DC Comics,DC Entertainment",https://www.imdb.com/title/tt1386697/
Arrival,Why are they here?,1,Denis Villeneuve,2,"Eric Heisserer(screenplay by),Ted Chiang(based on the story ""Story of Your Life"" written by)","Amy Adams,Jeremy Renner,Forest Whitaker",2016,1,"Drama,Sci-Fi",269,69,7.9,658619,81.0,116,"United States,Canada","Lava Bear Films,FilmNation Entertainment,21 Laps Entertainment",https://www.imdb.com/title/tt2543164/
Rogue One,A rebellion built on hope.,1,Gareth Edwards,3,"Chris Weitz(screenplay by),Tony Gilroy(screenplay by),John Knoll(story by)","Felicity Jones,Diego Luna,Alan Tudyk",2016,0,"Action,Adventure,Sci-Fi",85,24,7.8,595178,65.0,133,United States,"Lucasfilm,Walt Disney Pictures,Allison Shearmur Productions",https://www.imdb.com/title/tt3748528/
La La Land,Here's to the fools who dream.,1,Damien Chazelle,1,Damien Chazelle,"Ryan Gosling,Emma Stone,Rosemarie DeWitt",2016,6,"Comedy,Drama,Music,Musical,Romance",295,243,8.0,554755,94.0,128,"United States,Hong Kong","Summit Entertainment,Black Label Media,TIK Films",https://www.imdb.com/title/tt3783958/
Hacksaw Ridge,Based on the incredible true story.,1,Mel Gibson,2,"Robert Schenkkan(screenplay by),Andrew Knight(screenplay by)","Andrew Garfield,Sam Worthington,Luke Bracey",2016,2,"Biography,Drama,History,War",115,56,8.1,488187,71.0,139,"Australia,United States","Summit Entertainment,Cross Creek Pictures,Demarest Films",https://www.imdb.com/title/tt2119532/
Zootopia,Welcome to the urban jungle.,3,"Byron Howard,Rich Moore,Jared Bush",3,"Byron Howard(story by),Rich Moore(story by),Jared Bush(story by)","Ginnifer Goodwin(voice),Jason Bateman(voice),Idris Elba(voice)",2016,1,"Animation,Adventure,Comedy,Crime,Family,Mystery",72,47,8.0,472216,78.0,108,United States,"Walt Disney Pictures,Walt Disney Animation Studios",https://www.imdb.com/title/tt2948356/
Split,Kevin has 23 distinct personalities. The 24th is about to be unleashed.,1,M. Night Shyamalan,1,M. Night Shyamalan,"James McAvoy,Anya Taylor-Joy,Haley Lu Richardson",2016,0,"Horror,Thriller",26,10,7.3,467452,62.0,117,"United States,Japan","Universal Pictures,Blinding Edge Pictures,Blumhouse Productions",https://www.imdb.com/title/tt4972582/
Fantastic Beasts and Where to Find Them,From J.K. Rowling's wizarding world.,1,David Yates,1,J.K. Rowling,"Eddie Redmayne,Katherine Waterston,Alison Sudol",2016,1,"Adventure,Family,Fantasy",54,15,7.3,442572,66.0,132,"United Kingdom,United States","Heyday Films,Warner Bros.",https://www.imdb.com/title/tt3183660/
X-Men: Apocalypse,Prepare for the Apocalypse.,1,Bryan Singer,3,"Simon Kinberg(screenplay by),Bryan Singer(story by),Michael Dougherty(story by)","James McAvoy,Michael Fassbender,Jennifer Lawrence",2016,0,"Action,Adventure,Sci-Fi",19,1,6.9,417939,52.0,144,United States,"Twentieth Century Fox,Marvel Entertainment,TSG Entertainment",https://www.imdb.com/title/tt3385516/
Passengers,Every Moment Counts,1,Morten Tyldum,1,Jon Spaihts,"Jennifer Lawrence,Chris Pratt,Michael Sheen",2016,0,"Drama,Romance,Sci-Fi,Thriller",12,2,7.0,383723,41.0,116,"United States,Australia","Columbia Pictures,LStar Capital,Village Roadshow Pictures",https://www.imdb.com/title/tt1355644/
10 Cloverfield Lane,Monsters come in many forms,1,Dan Trachtenberg,3,"Josh Campbell(screenplay by),Matt Stuecken(screenplay by),Damien Chazelle(screenplay by)","John Goodman,Mary Elizabeth Winstead,John Gallagher Jr.",2016,0,"Drama,Horror,Sci-Fi,Thriller",48,16,7.2,312137,76.0,103,United States,"Paramount Pictures,Bad Robot,Spectrum Effects",https://www.imdb.com/title/tt1179933/
Moana,The ocean is calling.,3,"Ron Clements,John Musker,Don Hall(co-directed by)",3,"Jared Bush(screenplay by),Ron Clements(story by),John Musker(story by)","Auli'i Cravalho(voice),Dwayne Johnson(voice),Rachel House(voice)",2016,0,"Animation,Adventure,Comedy,Family,Fantasy,Musical",90,20,7.6,311065,81.0,107,United States,"Hurwitz Creative,Walt Disney Animation Studios,Walt Disney Pictures",https://www.imdb.com/title/tt3521164/
The Nice Guys,Nice pair,1,Shane Black,2,"Shane Black,Anthony Bagarozzi","Russell Crowe,Ryan Gosling,Angourie Rice",2016,0,"Action,Comedy,Crime,Thriller",34,9,7.4,308307,70.0,116,United States,"Warner Bros.,Silver Pictures,Waypoint Entertainment",https://www.imdb.com/title/tt3799694/
Moonlight,This is the story of a lifetime.,1,Barry Jenkins,2,"Barry Jenkins(screenplay by),Tarell Alvin McCraney(story by)","Mahershala Ali,Naomie Harris,Trevante Rhodes",2016,3,Drama,294,228,7.4,295424,99.0,111,United States,"A24,PASTEL,Plan B Entertainment",https://www.imdb.com/title/tt4975722/
The Accountant,Calculate your choices.,1,Gavin O'Connor,1,Bill Dubuque,"Ben Affleck,Anna Kendrick,J.K. Simmons",2016,0,"Action,Thriller",5,3,7.3,284797,51.0,128,United States,"Warner Bros.,Electric City Entertainment,Hurwitz Creative",https://www.imdb.com/title/tt2140479/
Now You See Me 2,Reappearing June 10,1,Jon M. Chu,3,"Ed Solomon(screenplay by),Peter Chiarelli(story by),Boaz Yakin(based on characters created by)","Jesse Eisenberg,Mark Ruffalo,Woody Harrelson",2016,0,"Action,Adventure,Comedy,Crime,Mystery,Thriller",5,0,6.5,273983,46.0,129,"United States,France,Hong Kong","Summit Entertainment,TIK Films,K/O Paper Products",https://www.imdb.com/title/tt3110958/
