title,tagline,no_of_directors,directors,no_of_writers,writers,lead_stars,released_year,oscar_wins,genres,award_nominations,award_wins,rating,votes,metascore,duration,county_of_origins,production_companies,url
The Wolf of Wall Street,Earn. Spend. Party.,1,Martin Scorsese,2,"Terence Winter(screenplay),Jordan Belfort(book)","Leonardo DiCaprio,Jonah Hill,Margot Robbie",2013,0,"Biography,Comedy,Crime,Drama",179,37,8.2,1310979,75,180,United States,"Red Granite Pictures,Appian Way,Sikelia Productions",https://www.imdb.com/title/tt0993846/
Iron Man Three,Prepare for heavy metal!,1,Shane Black,3,"Drew Pearce(screenplay by),Shane Black(screenplay by),Stan Lee(based on the Marvel comic book by)","Robert Downey Jr.,Guy Pearce,Gwyneth Paltrow",2013,0,"Action,Adventure,Sci-Fi",63,20,7.1,812828,62,130,United States,"Marvel Studios,Paramount Pictures,DMG Entertainment",https://www.imdb.com/title/tt1300854/
Gravity,Don't Let Go,1,Alfonso Cuarón,2,"Alfonso Cuarón,Jonás Cuarón","Sandra Bullock,George Clooney,Ed Harris(voice)",2013,7,"Drama,Sci-Fi,Thriller",187,239,7.7,804202,96,91,"United Kingdom,United States","Warner Bros.,Esperanto Filmoj,Heyday Films",https://www.imdb.com/title/tt1454468/
Man of Steel,Accomplish Wonder.,1,Zack Snyder,3,"David S. Goyer(screenplay),Christopher Nolan(story),Jerry Siegel(Superman created by)","Henry Cavill,Amy Adams,Michael Shannon",2013,0,"Action,Adventure,Sci-Fi",46,7,7.0,742735,55,143,"United States,United Kingdom","Warner Bros.,Legendary Entertainment,Syncopy",https://www.imdb.com/title/tt0770828/
12 Years a Slave,The extraordinary true story of Solomon Northup,1,Steve McQueen,2,"John Ridley(screenplay by),Solomon Northup(based on ""Twelve Years a Slave"" by)","Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender",2013,3,"Biography,Drama,History",336,242,8.1,677146,96,134,"United States,United Kingdom","New Regency Productions,River Road Entertainment,Plan B Entertainment",https://www.imdb.com/title/tt2024544/
Prisoners,Every moment matters,1,Denis Villeneuve,1,Aaron Guzikowski,"Hugh Jackman,Jake Gyllenhaal,Viola Davis",2013,0,"Crime,Drama,Mystery,Thriller",38,10,8.1,662241,70,153,United States,"Alcon Entertainment,8:38 Productions,Madhouse Entertainment",https://www.imdb.com/title/tt1392214/
Thor: The Dark World,There was darkness.,1,Alan Taylor,3,"Christopher L. Yost(screenplay by),Christopher Markus(screenplay by),Stephen McFeely(screenplay by)","Chris Hemsworth,Natalie Portman,Tom Hiddleston",2013,0,"Action,Adventure,Fantasy",21,4,6.8,647104,54,112,United States,"Marvel Studios,Walt Disney Pictures",https://www.imdb.com/title/tt1981115/
The Hunger Games: Catching Fire,Every revolution begins with a spark.,1,Francis Lawrence,3,"Simon Beaufoy(screenplay),Michael Arndt(screenplay),Suzanne Collins(novel ""Catching Fire"")","Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth",2013,0,"Action,Adventure,Drama,Sci-Fi,Thriller",68,22,7.5,644247,76,146,United States,"Color Force,Lionsgate",https://www.imdb.com/title/tt1951264/
World War Z,I can't leave my family,1,Marc Forster,3,"Matthew Michael Carnahan(screenplay),Drew Goddard(screenplay),Damon Lindelof(screenplay)","Brad Pitt,Mireille Enos,Daniella Kertesz",2013,0,"Action,Adventure,Horror,Sci-Fi",25,3,7.0,639142,63,116,"United States,United Kingdom,Malta","Paramount Pictures,Skydance Media,Hemisphere Media Capital",https://www.imdb.com/title/tt0816711/
The Hobbit: The Desolation of Smaug,Beyond darkness... beyond desolation... lies the greatest danger of all.,1,Peter Jackson,3,"Fran Walsh(screenplay),Philippa Boyens(screenplay),Peter Jackson(screenplay)","Ian McKellen,Martin Freeman,Richard Armitage",2013,0,"Adventure,Fantasy",90,19,7.8,635256,66,161,"New Zealand,United States","Metro-Goldwyn-Mayer (MGM),New Line Cinema,WingNut Films",https://www.imdb.com/title/tt1170358/
Now You See Me,"Come in close, because the more you think you see, the easier it'll be to fool you",1,Louis Leterrier,3,"Ed Solomon(screenplay),Boaz Yakin(screenplay),Edward Ricourt(screenplay)","Jesse Eisenberg,Common,Mark Ruffalo",2013,0,"Crime,Mystery,Thriller",3,1,7.2,633743,50,115,"United States,France","Summit Entertainment,K/O Paper Products,SOIXAN7E QUIN5E",https://www.imdb.com/title/tt1670345/
Frozen,,2,"Chris Buck,Jennifer Lee",3,"Jennifer Lee(screenplay by),Hans Christian Andersen(story inspired by: ""The Snow Queen"" by),Chris Buck(story by)","Kristen Bell(voice),Idina Menzel(voice),Jonathan Groff(voice)",2013,2,"Animation,Adventure,Comedy,Family,Fantasy,Musical",60,82,7.4,603899,75,102,United States,"Walt Disney Animation Studios,Walt Disney Pictures",https://www.imdb.com/title/tt2294629/
Her,A Spike Jonze love story.,1,Spike Jonze,1,Spike Jonze,"Joaquin Phoenix,Amy Adams,Scarlett Johansson(voice)",2013,1,"Drama,Romance,Sci-Fi",186,83,8.0,581528,91,126,United States,"Annapurna Pictures,Stage 6 Films",https://www.imdb.com/title/tt1798709/
The Great Gatsby,Can't repeat the past? ...of course you can!,1,Baz Luhrmann,3,"Baz Luhrmann(screenplay),Craig Pearce(screenplay),F. Scott Fitzgerald(based on the novel by)","Leonardo DiCaprio,Carey Mulligan,Joel Edgerton",2013,2,"Drama,Romance",86,50,7.2,518182,55,143,"Australia,United States","Warner Bros.,Village Roadshow Pictures,A+E Networks",https://www.imdb.com/title/tt1343092/
Oblivion,Earth is a memory worth fighting for.,1,Joseph Kosinski,3,"Karl Gajdusek(screenplay),Michael Arndt(screenplay),Joseph Kosinski(graphic novel original story)","Tom Cruise,Morgan Freeman,Andrea Riseborough",2013,0,"Action,Adventure,Sci-Fi",17,1,7.0,508974,54,124,United States,"Universal Pictures,Relativity Media,Monolith Pictures (III)",https://www.imdb.com/title/tt1483013/
