title,tagline,no_of_directors,directors,no_of_writers,writers,lead_stars,released_year,oscar_wins,genres,award_nominations,award_wins,rating,votes,metascore,duration,county_of_origins,production_companies,url
Tenet,Time Runs Out,1,Christopher Nolan,1,Christopher Nolan,"John David Washington,Robert Pattinson,Elizabeth Debicki",2020,1,"Action,Sci-Fi,Thriller",135,48,7.4,451047,69.0,150,"United States,United Kingdom","Warner Bros.,Syncopy,Warner Bros.",https://www.imdb.com/title/tt6723592/
Soul,Everybody has a soul. Joe Gardner is about to find his.,2,"Pete Docter,Kemp Powers",3,"Pete Docter(story by),Mike Jones(story by),Kemp Powers(story by)","Jamie Foxx(voice),Tina Fey(voice),Graham Norton(voice)",2020,2,"Animation,Adventure,Comedy,Drama,Family,Fantasy,Music",93,119,8.1,297656,83.0,100,United States,"Walt Disney Pictures,Pixar Animation Studios",https://www.imdb.com/title/tt2948372/
Wonder Woman 1984,A new era of wonder begins.,1,Patty Jenkins,3,"Patty Jenkins(story by),Geoff Johns(story by),Dave Callaham(screenplay by)","Gal Gadot,Chris Pine,Kristen Wiig",2020,0,"Action,Adventure,Fantasy",42,14,5.4,246996,60.0,151,United States,"Atlas Entertainment,DC Comics,DC Entertainment",https://www.imdb.com/title/tt7126948/
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,Mind Over Mayhem,1,Cathy Yan,3,"Christina Hodson,Paul Dini(Harley Quinn created by),Bruce Timm(Harley Quinn created by)","Margot Robbie,Rosie Perez,Mary Elizabeth Winstead",2020,0,"Action,Adventure,Comedy,Crime",82,16,6.1,221361,60.0,109,United States,"Clubhouse Pictures (II),DC Entertainment,Kroll & Co. Entertainment",https://www.imdb.com/title/tt7713068/
The Invisible Man,What You Can't See Can Hurt You,1,Leigh Whannell,2,"Leigh Whannell(screenplay by),H.G. Wells(novel)","Elisabeth Moss,Oliver Jackson-Cohen,Harriet Dyer",2020,0,"Drama,Horror,Mystery,Sci-Fi,Thriller",78,42,7.1,207345,72.0,124,"Australia,United States","Universal Pictures,Blumhouse Productions,Goalpost Pictures",https://www.imdb.com/title/tt1051906/
A Quiet Place Part II,Silence is Not Enough,1,John Krasinski,3,"John Krasinski,Bryan Woods(based on characters created by),Scott Beck(based on characters created by)","Emily Blunt,Millicent Simmonds,Cillian Murphy",2020,0,"Drama,Horror,Sci-Fi,Thriller",30,11,7.3,194721,71.0,97,United States,"Buffalo FilmWorks,Paramount Pictures,Platinum Dunes",https://www.imdb.com/title/tt8332922/
Extraction,,1,Sam Hargrave,3,"Joe Russo(screenplay),Ande Parks(based on the graphic novel ""Ciudad"" by),Anthony Russo(from a story by)","Chris Hemsworth,Bryon Lerum,Ryder Lerum",2020,0,"Action,Thriller",13,2,6.7,187407,56.0,116,United States,"Netflix,AGBO,T.G.I.M Films",https://www.imdb.com/title/tt8936646/
The Trial of the Chicago 7,"In 1968, democracy refused to back down.",1,Aaron Sorkin,1,Aaron Sorkin,"Eddie Redmayne,Alex Sharp,Sacha Baron Cohen",2020,0,"Drama,History,Thriller",189,57,7.8,166825,76.0,129,"United States,United Kingdom,India","Dreamworks Pictures,Amblin Partners,Aperture Media Partners",https://www.imdb.com/title/tt1070874/
Enola Holmes,Mystery runs in the family,1,Harry Bradbeer,3,"Jack Thorne(screenplay by),Nancy Springer(based upon the book ""The Case of the Missing Marquess: An Enola Holmes Mystery"" by),Arthur Conan Doyle(based on characters created by)","Millie Bobby Brown,Henry Cavill,Sam Claflin",2020,0,"Action,Adventure,Crime,Drama,Mystery",11,3,6.6,156832,68.0,123,United Kingdom,"Netflix,Legendary Entertainment,PCMA Productions",https://www.imdb.com/title/tt7846844/
The Old Guard,Forever is Harder Than It Looks,1,Gina Prince-Bythewood,2,"Greg Rucka(screenplay by),Leandro Fernandez(illustrated by)","Charlize Theron,KiKi Layne,Matthias Schoenaerts",2020,0,"Action,Adventure,Fantasy,Thriller",24,5,6.7,153001,70.0,125,United States,"Netflix,Skydance Media,Denver and Delilah Productions",https://www.imdb.com/title/tt7556122/
