title,tagline,no_of_directors,directors,no_of_writers,writers,lead_stars,released_year,oscar_wins,genres,award_nominations,award_wins,rating,votes,metascore,duration,county_of_origins,production_companies,url
The Dark Knight Rises,The Legend Ends,1,Christopher Nolan,3,"Jonathan Nolan(screenplay),Christopher Nolan(screenplay),David S. Goyer(story)","Christian Bale,Tom Hardy,Anne Hathaway",2012,0,"Action,Crime,Drama",103,39,8.4,1614882,78.0,164,"United States,United Kingdom","Warner Bros.,Legendary Entertainment,DC Entertainment",https://www.imdb.com/title/tt1345836/
Django Unchained,"Life, liberty and the pursuit of vengeance.",1,Quentin Tarantino,1,Quentin Tarantino,"Jamie Foxx,Christoph Waltz,Leonardo DiCaprio",2012,2,"Drama,Western",158,58,8.4,1467804,81.0,165,United States,"The Weinstein Company,Columbia Pictures",https://www.imdb.com/title/tt1853728/
The Avengers,Avengers Assemble!,1,Joss Whedon,2,"Joss Whedon(screenplay),Zak Penn(story)","Robert Downey Jr.,Chris Evans,Scarlett Johansson",2012,0,"Action,Adventure,Sci-Fi",80,38,8.0,1336848,69.0,143,United States,"Marvel Studios,Paramount Pictures",https://www.imdb.com/title/tt0848228/
The Hunger Games,The World Will Be Watching,1,Gary Ross,3,"Gary Ross(screenplay),Suzanne Collins(screenplay),Billy Ray(screenplay)","Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth",2012,0,"Action,Adventure,Sci-Fi,Thriller",48,33,7.2,888847,68.0,142,United States,"Lionsgate,Color Force",https://www.imdb.com/title/tt1392170/
The Hobbit: An Unexpected Journey,From the smallest beginnings come the greatest legends.,1,Peter Jackson,3,"Fran Walsh(screenplay),Philippa Boyens(screenplay),Peter Jackson(screenplay)","Martin Freeman,Ian McKellen,Richard Armitage",2012,0,"Adventure,Fantasy",75,11,7.8,795393,58.0,169,"New Zealand,United States","Metro-Goldwyn-Mayer (MGM),New Line Cinema,WingNut Films",https://www.imdb.com/title/tt0903624/
Silver Linings Playbook,Watch for the signs,1,David O. Russell,2,"David O. Russell(screenplay),Matthew Quick(novel ""The Silver Linings Playbook"")","Bradley Cooper,Jennifer Lawrence,Robert De Niro",2012,1,"Comedy,Drama,Romance",148,89,7.7,691882,81.0,122,United States,The Weinstein Company,https://www.imdb.com/title/tt1045658/
Skyfall,,1,Sam Mendes,3,"Neal Purvis,Robert Wade,John Logan","Daniel Craig,Javier Bardem,Naomie Harris",2012,2,"Action,Adventure,Thriller",123,67,7.8,678409,81.0,143,"United Kingdom,United States,Turkey","Metro-Goldwyn-Mayer (MGM),Columbia Pictures,Danjaq",https://www.imdb.com/title/tt1074638/
The Amazing Spider-Man,The untold story begins.,1,Marc Webb,3,"James Vanderbilt(screenplay),Alvin Sargent(screenplay),Steve Kloves(screenplay)","Andrew Garfield,Emma Stone,Rhys Ifans",2012,0,"Action,Adventure,Sci-Fi",31,2,6.9,625683,66.0,136,United States,"Columbia Pictures,Marvel Entertainment,Laura Ziskin Productions",https://www.imdb.com/title/tt0948470/
Life of Pi,Don't lose hope.,1,Ang Lee,2,"Yann Martel(novel),David Magee(screenplay)","Suraj Sharma,Irrfan Khan,Adil Hussain",2012,4,"Adventure,Drama,Fantasy",135,81,7.9,610214,79.0,127,"United States,Taiwan,United Kingdom,Canada","Fox 2000 Pictures,Dune Entertainment,Ingenious Media",https://www.imdb.com/title/tt0454876/
Argo,The movie was fake. The mission was real.,1,Ben Affleck,3,"Chris Terrio(screenplay by),Tony Mendez(based on a selection from ""The Master of Disguise"" by),Joshuah Bearman(based on the Wired Magazine article ""The Great Escape"" by)","Ben Affleck,Bryan Cranston,John Goodman",2012,3,"Biography,Drama,Thriller",156,94,7.7,599397,86.0,120,"United Kingdom,United States","Warner Bros.,GK Films,Smokehouse Pictures",https://www.imdb.com/title/tt1024648/
Ted,Ted is coming.,1,Seth MacFarlane,3,"Seth MacFarlane(screenplay by),Alec Sulkin(screenplay by),Wellesley Wild(screenplay by)","Mark Wahlberg,Mila Kunis,Seth MacFarlane(voice)",2012,0,Comedy,28,13,6.9,595410,62.0,106,United States,"Universal Pictures,Media Rights Capital (MRC),Fuzzy Door Productions",https://www.imdb.com/title/tt1637725/
Prometheus,The search for our beginning could lead to our end,1,Ridley Scott,3,"Jon Spaihts,Damon Lindelof,Dan O'Bannon(based on elements created by)","Noomi Rapace,Logan Marshall-Green,Michael Fassbender",2012,0,"Adventure,Mystery,Sci-Fi",47,6,7.0,593066,64.0,124,"United States,United Kingdom","Twentieth Century Fox,Dune Entertainment,Scott Free Productions",https://www.imdb.com/title/tt1446714/
Looper,Hunted by your future. Haunted by your past.,1,Rian Johnson,1,Rian Johnson,"Joseph Gordon-Levitt,Bruce Willis,Emily Blunt",2012,0,"Action,Drama,Sci-Fi,Thriller",47,18,7.4,560933,84.0,113,United States,"TriStar Pictures,FilmDistrict,Endgame Entertainment",https://www.imdb.com/title/tt1276104/
21 Jump Street,The only thing getting blown tonight is their cover.,2,"Phil Lord,Christopher Miller",3,"Michael Bacall(screenplay),Jonah Hill(story),Patrick Hasburgh(television series)","Jonah Hill,Channing Tatum,Ice Cube",2012,0,"Action,Comedy,Crime",21,11,7.2,539752,69.0,109,United States,"Columbia Pictures,Metro-Goldwyn-Mayer (MGM),Relativity Media",https://www.imdb.com/title/tt1232829/
The Perks of Being a Wallflower,We accept the love we think we deserve.,1,Stephen Chbosky,1,Stephen Chbosky(screenplay by),"Logan Lerman,Emma Watson,Ezra Miller",2012,0,"Drama,Romance",50,19,7.9,491640,67.0,103,United States,"Summit Entertainment,Mr. Mudd",https://www.imdb.com/title/tt1659337/
Wreck-It Ralph,The story of a regular guy just looking for a little wreck-ognition.,1,Rich Moore,3,"Rich Moore(story by),Phil Johnston(story by),Jim Reardon(story by)","John C. Reilly(voice),Jack McBrayer(voice),Jane Lynch(voice)",2012,0,"Animation,Adventure,Comedy,Family,Fantasy,Sci-Fi",42,33,7.7,405249,72.0,101,United States,"Walt Disney Animation Studios,Walt Disney Pictures",https://www.imdb.com/title/tt1772341/
Brave,Change your fate.,3,"Mark Andrews,Brenda Chapman,Steve Purcell",3,"Brenda Chapman(story by),Mark Andrews(screenplay by),Steve Purcell(screenplay by)","Kelly Macdonald(voice),Billy Connolly(voice),Emma Thompson(voice)",2012,1,"Animation,Adventure,Comedy,Family,Fantasy",48,20,7.1,396363,69.0,93,"United States,United Kingdom","Walt Disney Pictures,Pixar Animation Studios",https://www.imdb.com/title/tt1217209/
