title,tagline,no_of_directors,directors,no_of_writers,writers,lead_stars,released_year,oscar_wins,genres,award_nominations,award_wins,rating,votes,metascore,duration,county_of_origins,production_companies,url
Logan,His time has come,1,James Mangold,3,"James Mangold(story by),Scott Frank(screenplay by),Michael Green(screenplay by)","Hugh Jackman,Patrick Stewart,Dafne Keen",2017,0,"Action,Drama,Sci-Fi,Thriller",80,28,8.1,711711,77.0,137,United States,"Twentieth Century Fox,Marvel Entertainment,TSG Entertainment",https://www.imdb.com/title/tt3315342/
Thor: Ragnarok,No Hammer. No Problem.,1,Taika Waititi,3,"Eric Pearson,Craig Kyle,Christopher L. Yost","Chris Hemsworth,Tom Hiddleston,Cate Blanchett",2017,0,"Action,Adventure,Comedy,Fantasy,Sci-Fi",49,6,7.9,678063,74.0,130,"United States,Australia","Walt Disney Pictures,Marvel Studios,Government of Australia",https://www.imdb.com/title/tt3501632/
Guardians of the Galaxy Vol. 2,"This summer, the galaxy won't save itself.",1,James Gunn,3,"James Gunn,Dan Abnett(based on the Marvel comics by),Andy Lanning(based on the Marvel comics by)","Chris Pratt,Zoe Saldana,Dave Bautista",2017,0,"Action,Adventure,Comedy,Sci-Fi",58,15,7.6,635042,67.0,136,United States,"Marvel Studios,Walt Disney Pictures",https://www.imdb.com/title/tt3896198/
Wonder Woman,Power. Grace. Wisdom. Wonder.,1,Patty Jenkins,3,"Allan Heinberg(screenplay by),Zack Snyder(story by),Jason Fuchs(story by)","Gal Gadot,Chris Pine,Robin Wright",2017,0,"Action,Adventure,Fantasy,Sci-Fi,War",72,29,7.4,626264,76.0,141,United States,"Warner Bros.,Atlas Entertainment,Cruel & Unusual Films",https://www.imdb.com/title/tt0451279/
Dunkirk,"At the point of crisis, at the point of annihilation, survival is victory.",1,Christopher Nolan,1,Christopher Nolan,"Fionn Whitehead,Barry Keoghan,Mark Rylance",2017,3,"Action,Drama,History,Thriller,War",235,65,7.8,617078,94.0,106,"United Kingdom,Netherlands,France,United States","Syncopy,Warner Bros.,Dombey Street Productions",https://www.imdb.com/title/tt5013056/
Spider-Man: Homecoming,Homework can wait. The city can't.,1,Jon Watts,3,"Jonathan Goldstein(screenplay by),John Francis Daley(screenplay by),Jon Watts(screenplay by)","Tom Holland,Michael Keaton,Robert Downey Jr.",2017,0,"Action,Adventure,Sci-Fi",10,7,7.4,608441,73.0,133,United States,"Columbia Pictures,LStar Capital,Marvel Studios",https://www.imdb.com/title/tt2250912/
Star Wars: The Last Jedi,Let the Past Die,1,Rian Johnson,2,"Rian Johnson,George Lucas(based on characters created by)","Daisy Ridley,John Boyega,Mark Hamill",2017,0,"Action,Adventure,Fantasy,Sci-Fi",99,25,6.9,602574,84.0,152,United States,"Walt Disney Pictures,Lucasfilm,Ram Bergman Productions",https://www.imdb.com/title/tt2527336/
Get Out,"Just because you're invited, doesn't mean you're welcome.",1,Jordan Peele,1,Jordan Peele,"Daniel Kaluuya,Allison Williams,Bradley Whitford",2017,1,"Horror,Mystery,Thriller",209,151,7.7,548406,85.0,104,"United States,Japan","Universal Pictures,Blumhouse Productions,QC Entertainment",https://www.imdb.com/title/tt5052448/
Blade Runner 2049,The key to the future is finally unearthed.,1,Denis Villeneuve,3,"Hampton Fancher(screenplay by),Michael Green(screenplay by),Philip K. Dick(based on characters from the novel ""Do Androids Dream of Electric Sheep?"" by)","Harrison Ford,Ryan Gosling,Ana de Armas",2017,2,"Action,Drama,Mystery,Sci-Fi,Thriller",165,101,8.0,526867,81.0,164,"United States,United Kingdom,Canada,Spain","Alcon Entertainment,Columbia Pictures,Sony",https://www.imdb.com/title/tt1856101/
It,You'll float too.,1,Andy Muschietti,3,"Chase Palmer(screenplay by),Cary Joji Fukunaga(screenplay by),Gary Dauberman(screenplay by)","Bill Skarsgård,Jaeden Martell,Finn Wolfhard",2017,0,Horror,48,9,7.3,507227,69.0,135,"United States,Canada","New Line Cinema,RatPac-Dune Entertainment,Vertigo Entertainment",https://www.imdb.com/title/tt1396484/
Baby Driver,All you need is one killer track.,1,Edgar Wright,1,Edgar Wright,"Ansel Elgort,Jon Bernthal,Jon Hamm",2017,0,"Action,Crime,Drama,Music,Thriller",67,42,7.6,498403,86.0,113,"United Kingdom,United States","TriStar Pictures,Media Rights Capital (MRC),Working Title Films",https://www.imdb.com/title/tt3890160/
"Three Billboards Outside Ebbing, Missouri",,1,Martin McDonagh,1,Martin McDonagh,"Frances McDormand,Woody Harrelson,Sam Rockwell",2017,2,"Comedy,Crime,Drama",235,133,8.1,480845,88.0,115,"United Kingdom,United States","Blueprint Pictures,Film 4,Fox Searchlight Pictures",https://www.imdb.com/title/tt5027774/
Coco,The celebration of a lifetime,2,"Lee Unkrich,Adrian Molina(co-directed by)",3,"Lee Unkrich(original story by),Jason Katz(original story by),Matthew Aldrich(original story by)","Anthony Gonzalez(voice),Gael García Bernal(voice),Benjamin Bratt(voice)",2017,2,"Animation,Adventure,Comedy,Family,Fantasy,Music,Mystery",40,109,8.4,459722,81.0,105,United States,"Walt Disney Pictures,Pixar Animation Studios",https://www.imdb.com/title/tt2380307/
Justice League,Unite,1,Zack Snyder,3,"Jerry Siegel(Superman created by),Joe Shuster(Superman created by),Chris Terrio(story by)","Ben Affleck,Gal Gadot,Jason Momoa",2017,0,"Action,Adventure,Fantasy,Sci-Fi",13,2,6.1,434163,45.0,120,"United States,Canada,United Kingdom","Warner Bros.,RatPac Entertainment,DC Entertainment",https://www.imdb.com/title/tt0974015/
John Wick: Chapter 2,Never stab the devil in the back,1,Chad Stahelski,1,Derek Kolstad(based on characters created by),"Keanu Reeves,Riccardo Scamarcio,Ian McShane",2017,0,"Action,Crime,Thriller",10,4,7.5,407395,75.0,122,"United States,Italy,Hong Kong,Canada","Summit Entertainment,TIK Films,Thunder Road Pictures",https://www.imdb.com/title/tt4425200/
The Shape of Water,Based on an idea by Daniel Kraus And Guillermo del Toro,1,Guillermo del Toro,2,"Guillermo del Toro(screenplay by),Vanessa Taylor(screenplay by)","Sally Hawkins,Octavia Spencer,Michael Shannon",2017,4,"Drama,Fantasy,Romance",358,138,7.3,402779,87.0,123,"United States,Mexico","Double Dare You (DDY),Fox Searchlight Pictures,TSG Entertainment",https://www.imdb.com/title/tt5580390/
Jumanji: Welcome to the Jungle,The game has evolved.,1,Jake Kasdan,3,"Chris McKenna(screenplay by),Erik Sommers(screenplay by),Scott Rosenberg(screenplay by)","Dwayne Johnson,Karen Gillan,Kevin Hart",2017,0,"Action,Adventure,Comedy,Fantasy",15,5,6.9,357338,58.0,119,United States,"Columbia Pictures,Matt Tolmach Productions,Radar Pictures",https://www.imdb.com/title/tt2283362/
Kong: Skull Island,Awaken the King,1,Jordan Vogt-Roberts,3,"Dan Gilroy(screenplay by),Max Borenstein(screenplay by),Derek Connolly(screenplay by)","Tom Hiddleston,Samuel L. Jackson,Brie Larson",2017,0,"Action,Adventure,Fantasy,Sci-Fi",20,1,6.6,305854,62.0,118,"United States,China","Warner Bros.,Legendary Entertainment,Tencent Pictures",https://www.imdb.com/title/tt3731562/
Kingsman: The Golden Circle,Reports of my death have been greatly exaggerated.,1,Matthew Vaughn,3,"Jane Goldman,Matthew Vaughn,Mark Millar(based on the comic book ""The Secret Service"" by)","Taron Egerton,Colin Firth,Mark Strong",2017,0,"Action,Adventure,Comedy,Crime,Thriller",14,2,6.7,305507,44.0,141,"United Kingdom,United States","Twentieth Century Fox,Marv Films,Cloudy Productions",https://www.imdb.com/title/tt4649466/
Beauty and the Beast,Be our guest.,1,Bill Condon,3,"Stephen Chbosky(screenplay by),Evan Spiliotopoulos(screenplay by),Linda Woolverton(based on the 1991 animated film ""Beauty and the Beast"" animation screenplay by)","Emma Watson,Dan Stevens,Luke Evans",2017,0,"Adventure,Family,Fantasy,Musical,Romance",76,15,7.1,296383,65.0,129,United States,"Mandeville Films,Walt Disney Pictures",https://www.imdb.com/title/tt2771200/
